generation,mean,standard_deviation,min_value,max_value
0,9650641.089198055,5413734.624754984,2339639.3509049667,21870029.391317725
1,2682839.4867941528,395232.82632836926,2115668.754497107,3657023.0209879037
2,2263489.3481262946,106096.83603014557,2115668.754497107,2339639.3509049667
3,2115668.754497107,0.0,2115668.754497107,2115668.754497107
4,2115668.754497107,0.0,2115668.754497107,2115668.754497107
5,2115668.754497107,0.0,2115668.754497107,2115668.754497107
6,2111363.9212565757,30133.83268372243,1900427.0924705183,2115668.754497107
7,2046791.422648599,100405.10216348719,1900427.0924705183,2115668.754497107
8,1900427.0924705183,0.0,1900427.0924705183,1900427.0924705183
9,1900427.0924705183,0.0,1900427.0924705183,1900427.0924705183
