generation,mean,standard_deviation,min_value,max_value
0,30548438.941762123,42284730.688858606,1387186.2488347455,213202269.88501534
1,46137841.98996676,65579217.804259025,1387186.2488347455,215597553.6128994
2,50002900.32224509,74716245.24383742,1387186.2488347455,234274067.97596356
3,39527321.53978738,66100277.51693652,1387186.2488347455,206438794.51165128
4,17464548.041706584,34886901.43776577,1387186.2488347455,107881716.35132389
5,6117106.381098032,19492580.471065264,1354325.043885962,101643402.30914003
6,3905530.4013568964,13916064.439064845,981228.5178839196,101170087.36730322
7,7610231.951268289,23707236.698677428,981228.5178839196,101624716.08099176
8,27846530.06148737,44073977.13982836,981228.5178839196,104691903.86747497
9,27829851.292482905,44148885.37382489,981228.5178839196,103315976.2354813
