generation,mean,standard_deviation,min_value,max_value
0,16584442.524749162,21485738.974426,3217797.001562222,111547898.42782414
1,6272035.862134193,2523670.8014512905,3127005.511869508,12748058.92362984
2,6056482.597415041,13902909.152690189,1985924.3670044665,102731926.78894654
3,2992737.8788950066,591723.7829830948,1308409.5008203434,4752973.433945255
4,2570715.1476496006,539465.059994927,1308409.5008203434,3217797.001562222
5,2092125.9777869186,466827.0379498923,1165974.895799784,3079068.344649898
6,1799426.3907877356,508848.15222073015,1160651.2690221448,3551182.9108714466
7,1412288.5103403786,282627.2933695602,1143336.5133679737,2061611.3818512615
8,1261553.0872807698,199000.60636348304,1039269.2568814671,2241122.0696978853
9,1173468.4139848098,64854.076517813075,1039269.2568814671,1436187.5009468226
