generation,mean,standard_deviation,min_value,max_value
0,7933985.301066828,4285233.704549026,1097446.8399882268,18204086.29927128
1,2020859.3583511796,782448.665325112,1097446.8399882268,3746737.162933434
2,5696497.521974413,28278449.48289503,1097446.8399882268,201564402.2761995
3,5426230.164217401,19709209.61726336,924255.3751841555,102220230.33451287
4,5803212.717060077,28678411.52069501,924255.3751841555,202366887.5017303
5,1807033.1946396208,635254.0766103378,924255.3751841555,2342393.740113
6,6143975.862684062,29059829.20312061,924255.3751841555,203187392.9454022
7,2076059.8880937544,588424.4861206161,924255.3751841555,3207084.7884391895
8,10604286.837187111,41175914.780975774,924255.3751841555,203851856.49034628
9,4178410.3471399867,14643216.540302642,924255.3751841555,104489396.11759157
