generation,mean,standard_deviation,min_value,max_value
0,27030931.796354298,40916560.164924785,972384.7778867666,202575602.87112516
1,28729748.249200057,48495296.52091384,972384.7778867666,250065351.60230967
2,27647610.500517912,48760857.390421435,972384.7778867666,224370113.72393554
3,24082621.05554314,47561413.64329228,972384.7778867666,202250818.6081768
4,22094274.455341037,43078324.449095316,972384.7778867666,201215250.13107213
5,8052928.623480198,21805639.819837183,972384.7778867666,102507629.98176804
6,21040747.224680156,50427304.55287299,972384.7778867666,201637586.26993594
7,32862968.779228605,61341323.91055838,972384.7778867666,202921652.9491332
8,21153483.090760667,45362407.644833654,972384.7778867666,201406182.27027863
9,25542655.20504613,56974866.82379019,972384.7778867666,203264102.52752063
10,20461861.010625888,48750165.99005684,972384.7778867666,202289245.0646704
11,24598675.35488842,45248679.7951785,972384.7778867666,201196524.3046994
12,28483457.36331253,52932596.888177276,972384.7778867666,201949885.4874925
13,24392256.387640204,44776714.85554255,972384.7778867666,201353272.77395076
14,37786589.66653058,80372312.71179713,972384.7778867666,308659669.6337742
15,62033558.636150025,113329359.07685363,972384.7778867666,402249182.1665509
16,79199776.64525752,130719190.81299815,972384.7778867666,406208497.4189446
17,60435159.69096896,103672111.29920992,972384.7778867666,325594787.9336405
18,61476760.84135745,124349384.63227744,972384.7778867666,502043341.37537426
19,68025917.69833954,117635732.5857231,972384.7778867666,312318999.2551127
