generation,individual,restriction_penalty,choice_penalty,accounting_penalty,fitness_value
0,0,0,312488,8434738.006842425,8747226.006842425
0,1,0,324604,8468235.366694609,8792839.366694609
0,2,0,389409,21363752.29688385,21753161.29688385
0,3,0,302075,8998049.255427182,9300124.255427182
0,4,0,307994,28380642.62289178,28688636.62289178
0,5,100000000,422212,15256109.363180486,115678321.36318049
0,6,0,302092,8654951.24017176,8957043.24017176
0,7,0,311173,15774980.262863697,16086153.262863697
0,8,0,314887,4578283.838695536,4893170.838695536
0,9,0,317312,4378587.325828161,4695899.325828161
0,10,0,326360,5421896.061224452,5748256.061224452
0,11,0,315248,2160346.4955081055,2475594.4955081055
0,12,0,316454,4818102.333026736,5134556.333026736
0,13,0,315248,2160346.4955081055,2475594.4955081055
0,14,0,306187,24017410.77117212,24323597.77117212
0,15,0,289075,12837731.839239383,13126806.839239383
0,16,0,322150,5713575.366281065,6035725.366281065
0,17,0,317468,8869374.11647748,9186842.11647748
0,18,0,416755,6512760.334150884,6929515.334150884
0,19,0,297752,7984809.97978888,8282561.97978888
0,20,0,314887,4578283.838695536,4893170.838695536
0,21,0,387171,42807416.52964556,43194587.52964556
0,22,0,284139,20860186.480401937,21144325.480401937
0,23,0,316454,4818102.333026736,5134556.333026736
0,24,0,322023,5297732.942338203,5619755.942338203
0,25,0,284139,20860186.480401937,21144325.480401937
0,26,0,294994,17910335.40259134,18205329.40259134
0,27,0,311173,15774980.262863697,16086153.262863697
0,28,0,295786,11014410.925287051,11310196.925287051
0,29,0,306495,14564663.703934437,14871158.703934437
0,30,0,322023,5297732.942338203,5619755.942338203
0,31,0,321266,4223505.806110979,4544771.806110979
0,32,0,344774,5097597.767427207,5442371.767427207
0,33,0,297752,7984809.97978888,8282561.97978888
0,34,0,303717,3422134.5421175268,3725851.5421175268
0,35,0,306387,11455994.068916464,11762381.068916464
0,36,100000000,408966,22411257.301442996,122820223.301443
0,37,0,294994,17910335.40259134,18205329.40259134
0,38,0,313679,8345572.688713595,8659251.688713595
0,39,0,300181,24215644.603736337,24515825.603736337
0,40,0,302075,8998049.255427182,9300124.255427182
0,41,0,322023,5297732.942338203,5619755.942338203
0,42,0,443646,5596684.666253243,6040330.666253243
0,43,0,314887,4578283.838695536,4893170.838695536
0,44,0,324400,7506073.1533348225,7830473.1533348225
0,45,0,321266,4223505.806110979,4544771.806110979
0,46,0,312488,8434738.006842425,8747226.006842425
0,47,0,322023,5297732.942338203,5619755.942338203
0,48,0,315248,2160346.4955081055,2475594.4955081055
0,49,0,322023,5297732.942338203,5619755.942338203
1,0,0,322023,5297732.942338203,5619755.942338203
