generation,mean,standard_deviation,min_value,max_value
0,9904071.004875414,6549460.841668942,2475594.4955081055,28688636.62289178
1,5026360.440103349,1672371.680750648,2475594.4955081055,8747226.006842425
2,3656131.0667861016,1201160.1322420542,2327700.763901782,5619755.942338203
3,2850114.9868661636,691258.9058888971,1844019.2142095042,5297546.633125452
4,2387368.46795976,267399.13306357764,1844019.2142095042,3584212.37901274
5,4150765.417087263,13968797.74524858,1643633.7630485734,101904753.60784861
6,1943327.1526748026,206613.03496296084,1643633.7630485734,2327700.763901782
7,3866066.020440791,14033207.669868873,1643633.7630485734,102076662.68825985
8,1800766.5968353334,220334.22545796869,1643633.7630485734,2870381.4173995303
9,1753488.0207975006,277682.33688851167,1476800.4101447184,3412032.0404564445
