generation,fitness_value
0,1293551.7123421202
1,1293551.7123421202
2,1293551.7123421202
3,1293551.7123421202
4,1293551.7123421202
5,1293551.7123421202
6,1293551.7123421202
7,1293551.7123421202
8,1293551.7123421202
9,1293551.7123421202
10,1293551.7123421202
11,1293551.7123421202
12,1293551.7123421202
13,1293551.7123421202
14,1293551.7123421202
15,1293551.7123421202
16,1293551.7123421202
17,1293551.7123421202
18,1293551.7123421202
19,1293551.7123421202
20,1293551.7123421202
21,1293551.7123421202
22,1293551.7123421202
23,1293551.7123421202
24,1293551.7123421202
25,1293551.7123421202
26,1293551.7123421202
27,1293551.7123421202
28,1293551.7123421202
29,1293551.7123421202
