generation,mean,standard_deviation,min_value,max_value
0,13976725.185744159,18089772.5789279,1293551.7123421202,113443051.01039459
1,20231327.48265526,50983668.64415624,1293551.7123421202,338067583.5946859
2,36407058.17466221,79366811.8915293,1293551.7123421202,533248339.6821573
3,31694574.02414338,63745428.552953556,1293551.7123421202,328613500.63733894
4,40560170.49617176,70207087.69688842,1293551.7123421202,315946591.22001344
5,28593160.614794783,56902105.70026703,1293551.7123421202,308732534.0523008
6,32048273.609367423,60943878.8127337,1293551.7123421202,349709834.6192746
7,43632161.52128754,76920609.98604353,1293551.7123421202,349709834.6192746
8,29736319.8554612,62250464.91704328,1293551.7123421202,326705518.6977855
9,26407649.210202903,60760559.439522855,1293551.7123421202,324711842.8758843
10,26351467.964115962,65221538.57516682,1293551.7123421202,368684289.3050143
11,32909091.887524743,64096507.410053715,1293551.7123421202,382275237.39062643
12,46099822.024599895,106068483.99822125,1293551.7123421202,1140125095.6197813
13,47112992.767433636,182403578.07725304,1293551.7123421202,2872362878.868455
14,73619738.16262051,250513032.48806077,1293551.7123421202,2872362878.868455
15,94169368.70848505,483402317.40300286,1293551.7123421202,5906023212.186022
16,25876452.160630155,54766411.58332573,1293551.7123421202,328014623.00436985
17,32316026.594812036,63083797.42765272,1293551.7123421202,303302741.433104
18,27921575.419561144,55045766.97266809,1293551.7123421202,311668384.2684281
19,21172841.278587244,49443959.13885801,1293551.7123421202,304890683.30711997
20,33868875.34140898,69663249.17055161,1293551.7123421202,427662353.0818689
21,215002333.9576951,717919076.0959412,1293551.7123421202,9130506817.75625
22,312304784366.51685,5043711211804.7,1293551.7123421202,84393724078212.6
23,3062567915463.469,50127385700179.65,1293551.7123421202,823683237235911.0
24,30853009273798.055,374108758947687.0,1293551.7123421202,6006010880137817.0
25,3400667355922.6597,51821216011616.07,1293551.7123421202,854068970827832.1
26,1333659834848.9033,19952228371757.277,1293551.7123421202,332931908953784.06
27,71813714641.513,711416011592.3802,1293551.7123421202,9495253098931.918
28,244818664328.92032,1326197564225.4434,1293551.7123421202,9495253098931.918
29,9.644206365633526e+17,1.5591566832292377e+19,1293551.7123421202,2.5381640896309373e+20
