generation,mean,standard_deviation,min_value,max_value
0,9025425.854457986,5546671.194728872,1590790.535203799,24244897.549323115
1,5235973.517687833,1913181.886343916,1590790.535203799,12739108.275940357
2,3997925.9645982063,1418211.978137365,1590790.535203799,6384581.683281258
3,3055671.903120182,1293379.626105326,1590790.535203799,4931569.353375959
4,2288331.80358447,1018016.1161401225,1590790.535203799,4429553.160380119
5,1858054.8965717966,539257.7969535526,1590790.535203799,3031426.594036341
6,1590790.535203799,0.0,1590790.535203799,1590790.535203799
7,1590790.535203799,0.0,1590790.535203799,1590790.535203799
8,1590790.535203799,0.0,1590790.535203799,1590790.535203799
9,1589694.1468461722,7674.718503386723,1535971.1173224652,1590790.535203799
