generation,fitness_value
0,1377691.3513522286
1,1377691.3513522286
2,1377691.3513522286
3,1377691.3513522286
4,1377691.3513522286
5,1377691.3513522286
6,1185783.970773213
7,1185783.970773213
8,1185783.970773213
9,1185783.970773213
10,1185783.970773213
11,1185783.970773213
12,1185783.970773213
13,1185783.970773213
14,1185783.970773213
15,1185783.970773213
16,1185783.970773213
17,1185783.970773213
18,1185783.970773213
19,1185783.970773213
20,1185783.970773213
21,1185783.970773213
22,1089531.0099366675
23,1089531.0099366675
24,897677.3104347932
25,897677.3104347932
26,897677.3104347932
27,897677.3104347932
28,897677.3104347932
29,897677.3104347932
30,897677.3104347932
31,897677.3104347932
32,897677.3104347932
33,897677.3104347932
34,897677.3104347932
35,897677.3104347932
36,897677.3104347932
37,897677.3104347932
38,897677.3104347932
39,897677.3104347932
40,897677.3104347932
41,897677.3104347932
42,897677.3104347932
43,897677.3104347932
44,897677.3104347932
45,897677.3104347932
46,897677.3104347932
47,897677.3104347932
48,897677.3104347932
49,897677.3104347932
