generation,mean,standard_deviation,min_value,max_value
0,7995639.875953254,4172618.875310861,1377691.3513522286,17249155.959753666
1,2086244.0917016058,1227519.2365728177,1377691.3513522286,5393990.301509362
2,3510241.3119463115,14030541.957780214,1377691.3513522286,101331213.63825
3,1430323.7425522816,152092.52792574756,1377691.3513522286,1881733.142895373
4,1408202.3441808312,114967.57986616773,1377691.3513522286,1881733.142895373
5,1399153.1468978303,85566.67714660459,1377691.3513522286,1881733.142895373
6,1383525.197536791,51207.92146136069,1185783.970773213,1769119.5801197789
7,5390899.125104861,19622072.921552647,1185783.970773213,102503988.32502723
8,3379066.939224811,14035961.226135764,1185783.970773213,101680011.28487597
9,1354662.4656827464,62362.51719828043,1185783.970773213,1377691.3513522286
10,1350824.3180711663,66589.37230198352,1185783.970773213,1377691.3513522286
11,1339309.8752364253,76762.95223160619,1185783.970773213,1377691.3513522286
12,1312442.841955363,90908.20945615899,1185783.970773213,1377691.3513522286
13,1322038.2109843139,87080.28684031733,1185783.970773213,1377691.3513522286
14,1314361.9157611532,90237.29099184311,1185783.970773213,1377691.3513522286
15,1345819.156435165,164877.95348729784,1185783.970773213,2548874.5067054527
16,1313918.1193633073,90033.64095598966,1185783.970773213,1377691.3513522286
17,1310854.8102520385,101874.04220223239,1185783.970773213,1718403.0110660645
18,2312111.320097944,9934253.877043268,1185783.970773213,101152631.7850313
19,1325876.3585958942,85199.09659292047,1185783.970773213,1377691.3513522286
20,1323705.007045912,86060.10941269908,1185783.970773213,1381991.4212186392
21,1310523.768149573,91533.98668778194,1185783.970773213,1377691.3513522286
22,1321961.6768585015,88175.80065558552,1089531.0099366675,1377691.3513522286
23,2326937.2556723678,9975692.093012152,1089531.0099366675,101580034.01983613
24,1310512.3341384628,102927.98391938499,897677.3104347932,1377691.3513522286
25,1294180.868283268,128552.03999935742,897677.3104347932,1377691.3513522286
26,1299028.411610794,159739.15763372421,897677.3104347932,1735009.3721952853
27,1261293.419672233,181158.8582073535,897677.3104347932,1377691.3513522286
28,1243278.7504305488,203660.1792529118,897677.3104347932,1377691.3513522286
29,1237192.537411462,215942.85600208363,897677.3104347932,1458378.1805206465
30,1243287.4198953465,215525.7698344717,897677.3104347932,1377691.3513522286
31,1238487.2794861721,217812.15628264772,897677.3104347932,1377691.3513522286
32,1218370.482565336,225249.32343135247,897677.3104347932,1377691.3513522286
33,1238487.2794861721,217812.15628264772,897677.3104347932,1377691.3513522286
34,1233687.1390769978,219970.0677145777,897677.3104347932,1377691.3513522286
35,1248087.560304521,213106.77325015076,897677.3104347932,1377691.3513522286
36,1209686.437031126,228952.10543084968,897677.3104347932,1377691.3513522286
37,1233687.1390769978,219970.0677145777,897677.3104347932,1377691.3513522286
38,1219286.7178494749,225708.7067717159,897677.3104347932,1377691.3513522286
39,1200086.1562127774,231752.8469432362,897677.3104347932,1377691.3513522286
40,1257687.8411228696,207852.17680386096,897677.3104347932,1377691.3513522286
41,1195286.015803603,232992.30838160682,897677.3104347932,1377691.3513522286
42,1238487.2794861721,217812.15628264772,897677.3104347932,1377691.3513522286
43,1248087.560304521,213106.77325015076,897677.3104347932,1377691.3513522286
44,1228886.9986678234,222003.25056250792,897677.3104347932,1377691.3513522286
45,2262342.013587098,10094578.925547656,897677.3104347932,101658058.47771558
46,1219286.7178494749,225708.7067717159,897677.3104347932,1377691.3513522286
47,3247907.038455387,20018573.744114928,897677.3104347932,201409479.64300543
48,1228886.9986678234,222003.25056250792,897677.3104347932,1377691.3513522286
49,1209686.437031126,228952.10543084968,897677.3104347932,1377691.3513522286
