generation,mean,standard_deviation,min_value,max_value
0,8183325.718080808,3577791.754940491,2409557.438897283,11831084.350621674
1,5035055.86760374,3680677.6683523357,2409557.438897283,11235248.575410975
2,2376376.846022932,162551.04381037373,1580042.617038513,2409557.438897283
3,2243654.474525529,331805.92874350795,1580042.617038513,2409557.438897283
4,2210473.881651178,354271.78656823596,1580042.617038513,2409557.438897283
5,2090863.8392463184,395242.85206431616,1580042.617038513,2409557.438897283
6,2046706.7556423042,395800.17879431846,1580042.617038513,2409557.438897283
7,1910634.4607097495,387001.27355549816,1580042.617038513,2409557.438897283
8,1978209.7315307225,414425.47217198566,1580042.617038513,2409557.438897283
9,1779126.1742846179,354271.78656823596,1580042.617038513,2409557.438897283
10,1978209.7315307225,414425.47217198566,1580042.617038513,2409557.438897283
11,1745945.5814102672,331805.9287435079,1580042.617038513,2409557.438897283
12,1840558.6703951664,394900.06544532714,1314697.7308526835,2409557.438897283
13,1880007.1594397214,440122.88989597524,1314697.7308526835,2409557.438897283
14,1541605.0548449343,343083.14890067966,1314697.7308526835,2409557.438897283
15,1489875.2841398194,401382.1989977302,1314697.7308526835,2409557.438897283
16,1840230.390714091,546991.7348212461,1314697.7308526835,2409557.438897283
17,1577464.0607833874,467596.1111115337,1314697.7308526835,2409557.438897283
18,1752641.6140705233,536369.5249283662,1314697.7308526835,2409557.438897283
19,1383358.4315726897,242265.88017252347,1314697.7308526835,2409557.438897283
