generation,mean,standard_deviation,min_value,max_value
0,18626217.077292655,29080271.369944528,2427611.2446292066,127723364.85054114
1,8345359.903575973,14731501.81343403,1590910.3644806053,105774038.72290508
2,10261384.355339028,24282597.95618699,1590910.3644806053,106514794.82969283
3,9107597.8580168,23601654.93147925,1590910.3644806053,103162792.87797245
4,8589333.050922642,23641809.021980774,1381876.7432127206,102419886.24710599
5,2341220.473448594,1058715.2256286193,1381876.7432127206,8655955.337213814
6,2211768.089061035,900780.348571911,1381876.7432127206,5922953.605870742
7,6021244.14389094,19498675.373108115,1381876.7432127206,101445609.31116766
8,7899712.504688909,24069238.61659887,1369381.2785802255,104973469.06920242
9,5553861.536134912,19595511.952897526,1369381.2785802255,101572135.58427835
