generation,mean,standard_deviation,min_value,max_value
0,9111345.625244219,5308813.15904472,1525694.0582723622,23128335.66413877
1,6047573.173926961,28142659.300997693,1193457.680203814,301730907.07804054
2,3617672.0527850906,12633449.601909941,1193457.680203814,102616974.56546119
3,6931956.599262416,26186409.035256125,1193457.680203814,206564978.41477692
4,6366052.45151371,22831682.83108397,1193457.680203814,203035640.0157012
5,7219651.073557146,26590349.018238306,1193457.680203814,201633254.9508475
6,4214360.649361387,17805543.468227655,1193457.680203814,201876240.00237197
7,7504010.095866856,27227583.459193423,1193457.680203814,203264260.1630393
8,7356064.600332445,27012363.641334996,1193457.680203814,203174126.50633717
9,9517334.918429788,33534995.382131636,1193457.680203814,303352587.17839766
10,7518935.742991837,34316264.276057206,1193457.680203814,302219147.3975862
11,6746217.392868655,21293142.999418557,1193457.680203814,105148477.2665321
12,5646111.801735948,21380170.367963254,1193457.680203814,203976131.0275279
13,5801133.15719503,24051119.18338044,1193457.680203814,203706618.2220934
14,9048078.532980787,42020242.856569655,1193457.680203814,407272098.86864763
15,6324296.378914105,22827926.76556928,1193457.680203814,201655432.84475145
16,9968105.186178818,35703516.99004449,1193457.680203814,206404924.1588318
17,8367900.455245516,33476814.96386861,1193457.680203814,241041455.8861762
18,6761699.621804692,29617998.896604065,1193457.680203814,303230999.0395774
19,7591510.843168593,33184868.457438596,1193457.680203814,307030920.4108451
20,6257137.7752151685,26908756.612632487,1193457.680203814,204204854.5105384
21,10586633.730582904,43159578.56528841,1193457.680203814,405274095.67047465
22,7367735.927673085,30802097.290012255,1193457.680203814,301662202.6637498
23,4740644.731333213,19003703.96175068,1193457.680203814,202024204.94502866
24,6427070.932922517,25887242.09267921,1193457.680203814,216155781.9497814
