generation,fitness_value
0,1525694.0582723622
1,1193457.680203814
2,1193457.680203814
3,1193457.680203814
4,1193457.680203814
5,1193457.680203814
6,1193457.680203814
7,1193457.680203814
8,1193457.680203814
9,1193457.680203814
10,1193457.680203814
11,1193457.680203814
12,1193457.680203814
13,1193457.680203814
14,1193457.680203814
15,1193457.680203814
16,1193457.680203814
17,1193457.680203814
18,1193457.680203814
19,1193457.680203814
20,1193457.680203814
21,1193457.680203814
22,1193457.680203814
23,1193457.680203814
24,1193457.680203814
