generation,individual,restriction_penalty,choice_penalty,accounting_penalty,fitness_value
0,0,0,333204,7566854.366967892,7900058.366967892
0,1,0,317490,21335770.7863414,21653260.7863414
0,2,0,732773,3879815.2641420867,4612588.264142087
0,3,0,303488,22673980.89580586,22977468.89580586
0,4,0,321914,3648166.536065048,3970080.536065048
0,5,100000000,720796,1834788.08056924,102555584.08056924
0,6,0,333058,1540530.4135823445,1873588.4135823445
0,7,0,713414,2721838.408013113,3435252.408013113
0,8,0,288514,23861929.419482168,24150443.419482168
0,9,0,314259,26024872.8480987,26339131.8480987
0,10,0,690466,7503863.99291419,8194329.99291419
0,11,0,325548,12278214.166260412,12603762.166260412
0,12,0,316573,15572129.676431168,15888702.676431168
0,13,0,759817,2209039.5172167276,2968856.5172167276
0,14,0,327545,2654371.0922411927,2981916.0922411927
0,15,100000000,716365,21707455.69941658,122423820.69941658
0,16,0,327776,4706786.871476677,5034562.871476677
0,17,0,303488,22673980.89580586,22977468.89580586
0,18,100000000,708103,20721616.11671705,121429719.11671706
0,19,0,321005,8915157.42223424,9236162.42223424
0,20,0,312126,3882526.6323755,4194652.6323755
0,21,0,300525,37075962.03742361,37376487.03742361
0,22,0,311087,12945485.86160176,13256572.86160176
0,23,0,303794,6137966.603682497,6441760.603682497
0,24,0,751945,32735061.19819867,33487006.19819867
0,25,0,312126,3882526.6323755,4194652.6323755
0,26,100000000,808483,31886829.949259687,132695312.94925968
0,27,0,316573,15572129.676431168,15888702.676431168
0,28,0,314259,26024872.8480987,26339131.8480987
0,29,0,318113,8641796.129538843,8959909.129538843
0,30,0,704819,9900680.568501335,10605499.568501335
0,31,0,324550,1242042.8433522817,1566592.8433522817
0,32,0,304592,3874751.3287428995,4179343.3287428995
0,33,0,770770,9391347.639255537,10162117.639255537
0,34,100000000,747646,20553927.79508892,121301573.79508892
0,35,0,288514,23861929.419482168,24150443.419482168
0,36,0,307225,3968586.750946921,4275811.75094692
0,37,0,333204,7566854.366967892,7900058.366967892
0,38,0,302991,19445861.92610218,19748852.92610218
0,39,0,312126,3882526.6323755,4194652.6323755
0,40,0,304592,3874751.3287428995,4179343.3287428995
0,41,0,284301,6233722.94566273,6518023.94566273
0,42,0,314259,26024872.8480987,26339131.8480987
0,43,0,327776,4706786.871476677,5034562.871476677
0,44,0,308286,12046965.113230977,12355251.113230977
0,45,200000000,719053,14602752.852111744,215321805.85211176
0,46,0,324550,1242042.8433522817,1566592.8433522817
0,47,0,302191,12944780.594703812,13246971.594703812
0,48,0,308286,12046965.113230977,12355251.113230977
0,49,0,321296,3274657.2511561178,3595953.2511561178
1,0,100000000,765153,5148266.7953974325,105913419.79539743
1,1,0,324550,1242042.8433522817,1566592.8433522817
1,2,0,321296,3274657.2511561178,3595953.2511561178
1,3,0,681273,3617435.2958115637,4298708.295811564
1,4,0,1115128,9595445.035539044,10710573.035539044
1,5,200000000,724370,49808740.59043503,250533110.59043503
1,6,0,318113,8641796.129538843,8959909.129538843
1,7,100000000,726214,6014640.527193408,106740854.52719341
1,8,0,1104012,4197396.956536282,5301408.956536282
1,9,0,668548,1843674.254950157,2512222.254950157
1,10,0,302191,12944780.594703812,13246971.594703812
1,11,200000000,749689,2386782.9367318475,203136471.93673185
1,12,0,318113,8641796.129538843,8959909.129538843
1,13,0,321296,3274657.2511561178,3595953.2511561178
1,14,0,318113,8641796.129538843,8959909.129538843
1,15,0,304592,3874751.3287428995,4179343.3287428995
1,16,0,307225,3968586.750946921,4275811.75094692
1,17,0,307225,3968586.750946921,4275811.75094692
1,18,200000000,771110,1623821.31560914,202394931.31560913
1,19,0,321914,3648166.536065048,3970080.536065048
1,20,0,308286,12046965.113230977,12355251.113230977
1,21,0,689726,11366975.634432128,12056701.634432128
1,22,0,303488,22673980.89580586,22977468.89580586
2,0,0,784766,1613353.6887209492,2398119.688720949
2,1,0,715129,4998658.248350644,5713787.248350644
2,2,200000000,771110,1623821.31560914,202394931.31560913
2,3,0,321296,3274657.2511561178,3595953.2511561178
2,4,0,324550,1242042.8433522817,1566592.8433522817
2,5,0,321296,3274657.2511561178,3595953.2511561178
2,6,100000000,710278,4942170.631184818,105652448.63118482
2,7,100000000,766305,3143465.698131738,103909770.69813174
2,8,0,302191,12944780.594703812,13246971.594703812
2,9,0,321296,3274657.2511561178,3595953.2511561178
2,10,0,304592,3874751.3287428995,4179343.3287428995
2,11,0,727658,2352601.9247341068,3080259.9247341068
2,12,0,304592,3874751.3287428995,4179343.3287428995
2,13,0,304592,3874751.3287428995,4179343.3287428995
2,14,0,324550,1242042.8433522817,1566592.8433522817
2,15,300000000,755495,56137812.35364054,356893307.35364056
2,16,0,740696,3505403.3353143656,4246099.335314365
2,17,0,324550,1242042.8433522817,1566592.8433522817
2,18,0,1498931,20527450.07645259,22026381.07645259
2,19,200000000,713163,2501446.281660247,203214609.28166026
2,20,0,327545,2654371.0922411927,2981916.0922411927
2,21,0,304592,3874751.3287428995,4179343.3287428995
2,22,0,1093341,2327937.0912069995,3421278.0912069995
2,23,0,304592,3874751.3287428995,4179343.3287428995
2,24,0,304592,3874751.3287428995,4179343.3287428995
2,25,0,324550,1242042.8433522817,1566592.8433522817
2,26,200000000,715219,2040147.0801543887,202755366.0801544
3,0,200000000,713927,3428785.5101847923,204142712.5101848
3,1,0,747801,604518.5911994645,1352319.5911994646
3,2,0,672500,850191.3524879442,1522691.352487944
3,3,0,327545,2654371.0922411927,2981916.0922411927
3,4,0,324550,1242042.8433522817,1566592.8433522817
3,5,0,787696,1528251.7901395462,2315947.790139546
3,6,200000000,1187928,3545919.263656139,204733847.26365614
3,7,100000000,691552,1934878.528448108,102626430.5284481
3,8,100000000,717191,5103612.385760679,105820803.38576068
3,9,200000000,1149572,2697446.399911124,203847018.39991114
3,10,0,324550,1242042.8433522817,1566592.8433522817
3,11,0,304592,3874751.3287428995,4179343.3287428995
3,12,0,321296,3274657.2511561178,3595953.2511561178
3,13,0,327545,2654371.0922411927,2981916.0922411927
3,14,0,732773,3879815.2641420867,4612588.264142087
3,15,0,324550,1242042.8433522817,1566592.8433522817
3,16,100000000,719070,7917241.187273022,108636311.18727303
3,17,0,327545,2654371.0922411927,2981916.0922411927
3,18,0,321296,3274657.2511561178,3595953.2511561178
3,19,0,324550,1242042.8433522817,1566592.8433522817
3,20,100000000,700181,14480279.726894092,115180460.7268941
3,21,100000000,732900,1559143.323061152,102292043.32306115
3,22,0,327545,2654371.0922411927,2981916.0922411927
3,23,0,304592,3874751.3287428995,4179343.3287428995
3,24,0,753070,1074180.6522335024,1827250.6522335024
3,25,200000000,704026,510980.92268996267,201215006.92268997
4,0,0,324550,1242042.8433522817,1566592.8433522817
4,1,0,732773,3879815.2641420867,4612588.264142087
4,2,0,321296,3274657.2511561178,3595953.2511561178
4,3,100000000,737650,2748464.941452327,103486114.94145232
4,4,0,1093341,2327937.0912069995,3421278.0912069995
4,5,0,1116555,454707.59852835117,1571262.5985283512
4,6,0,324550,1242042.8433522817,1566592.8433522817
4,7,0,324550,1242042.8433522817,1566592.8433522817
4,8,0,321296,3274657.2511561178,3595953.2511561178
4,9,0,668548,1843674.254950157,2512222.254950157
4,10,100000000,727437,2312116.7324758996,103039553.7324759
4,11,100000000,759685,2424675.631663956,103184360.63166396
4,12,200000000,1043715,676086.2631432549,201719801.26314324
4,13,0,783027,841009.2572539587,1624036.2572539588
4,14,0,739311,7291504.12376353,8030815.12376353
4,15,0,746949,1103896.099267861,1850845.099267861
4,16,0,668548,1843674.254950157,2512222.254950157
4,17,200000000,711889,2423548.6404889734,203135437.64048898
4,18,100000000,736597,2502721.8582295384,103239318.85822953
4,19,0,324550,1242042.8433522817,1566592.8433522817
4,20,0,787696,1528251.7901395462,2315947.790139546
4,21,0,737362,386562.1784915052,1123924.1784915053
4,22,0,1148361,799121.7682264732,1947482.7682264731
4,23,100000000,720029,9120697.975114327,109840726.97511433
5,0,0,324550,1242042.8433522817,1566592.8433522817
5,1,100000000,727598,1968569.5185661325,102696167.51856613
5,2,0,1103686,2011143.6806083163,3114829.6806083163
5,3,200000000,1160307,2195466.303088402,203355773.3030884
5,4,0,324550,1242042.8433522817,1566592.8433522817
5,5,0,767071,1886341.7932230085,2653412.7932230085
5,6,0,734785,2278880.0682869502,3013665.0682869502
5,7,0,668548,1843674.254950157,2512222.254950157
5,8,0,787696,1528251.7901395462,2315947.790139546
5,9,0,672500,850191.3524879442,1522691.352487944
5,10,0,737362,386562.1784915052,1123924.1784915053
5,11,0,324550,1242042.8433522817,1566592.8433522817
5,12,0,324550,1242042.8433522817,1566592.8433522817
