generation,mean,standard_deviation,min_value,max_value
0,20554617.963957895,30478112.310357675,1566592.8433522817,122423820.69941658
1,20158580.98207795,39339442.510283776,1566592.8433522817,202394931.31560913
2,16118355.85777401,42994864.831617974,1566592.8433522817,202755366.0801544
3,21156845.31521587,48435699.606224395,1352319.5911994646,203847018.39991114
4,16377751.669814281,40555747.84404991,1123924.1784915053,201719801.26314324
5,1786773.3639675663,519160.6522652012,1123924.1784915053,3595953.2511561178
6,5727022.98704131,19566847.121098112,1123924.1784915053,101539519.08108963
7,20019855.03709371,43893956.46042649,1123924.1784915053,200987998.4618891
8,9720879.5401269,27295601.12783399,1123924.1784915053,103236217.67356099
9,3362505.428972469,14449292.964389484,1123924.1784915053,104481281.62451762
