generation,individual,restriction_penalty,choice_penalty,accounting_penalty,fitness_value
0,0,0,308659,3514207.701775273,3822866.701775273
0,1,0,287514,24499119.778646514,24786633.778646514
0,2,0,319237,13324019.269891089,13643256.269891089
0,3,0,323899,11474259.095270678,11798158.095270678
0,4,0,287514,24499119.778646514,24786633.778646514
0,5,0,314450,5180531.631967544,5494981.631967544
0,6,0,316809,21711189.445885472,22027998.445885472
0,7,0,300642,25889023.880770784,26189665.880770784
0,8,0,329488,4357369.223157114,4686857.223157114
0,9,0,328878,7933936.681339612,8262814.681339612
0,10,0,294069,23868304.651794665,24162373.651794665
0,11,0,323899,11474259.095270678,11798158.095270678
0,12,0,316461,9687879.35760257,10004340.35760257
0,13,0,319220,21516669.69956351,21835889.69956351
0,14,0,339950,6028794.826507208,6368744.826507208
0,15,0,287514,24499119.778646514,24786633.778646514
0,16,0,335085,5566901.234218205,5901986.234218205
0,17,0,335085,5566901.234218205,5901986.234218205
0,18,0,491280,20598509.367385015,21089789.367385015
0,19,0,312463,3031482.01198835,3343945.01198835
0,20,0,319438,4047410.7795817945,4366848.7795817945
0,21,0,311992,5138651.878551268,5450643.878551268
0,22,0,304909,10890672.525973571,11195581.525973571
0,23,0,319237,13324019.269891089,13643256.269891089
0,24,0,304285,16743469.219591288,17047754.21959129
0,25,0,321718,8135586.887657904,8457304.887657903
0,26,0,309275,5524942.390186357,5834217.390186357
0,27,0,304909,10890672.525973571,11195581.525973571
0,28,0,291907,28429343.792160273,28721250.792160273
0,29,0,303126,9027277.796929447,9330403.796929447
0,30,0,319237,13324019.269891089,13643256.269891089
0,31,0,326721,5725654.975412135,6052375.975412135
0,32,0,318343,2718673.155283236,3037016.155283236
0,33,0,322083,6199847.057804332,6521930.057804332
0,34,0,321297,4290798.1658398695,4612095.1658398695
0,35,0,287514,24499119.778646514,24786633.778646514
0,36,0,327270,6369132.000676414,6696402.000676414
0,37,0,326721,5725654.975412135,6052375.975412135
0,38,0,323899,11474259.095270678,11798158.095270678
0,39,0,294069,23868304.651794665,24162373.651794665
0,40,0,517115,7026459.17143228,7543574.17143228
0,41,0,347109,3680420.7569317324,4027529.7569317324
0,42,100000000,514575,1727968.3671931592,102242543.36719316
0,43,0,290652,14063681.883678574,14354333.883678574
0,44,0,326331,11566654.653248293,11892985.653248293
0,45,0,304909,10890672.525973571,11195581.525973571
0,46,0,319469,2623430.9045461803,2942899.9045461803
0,47,0,297620,11882455.774005173,12180075.774005173
0,48,0,325724,15799693.1722596,16125417.1722596
0,49,0,292945,8555822.276191764,8848767.276191764
1,0,0,304909,10890672.525973571,11195581.525973571
1,1,0,311992,5138651.878551268,5450643.878551268
1,2,0,319469,2623430.9045461803,2942899.9045461803
1,3,300000000,575829,11713795.17116131,312289624.1711613
1,4,0,308659,3514207.701775273,3822866.701775273
1,5,0,335085,5566901.234218205,5901986.234218205
1,6,0,321297,4290798.1658398695,4612095.1658398695
1,7,0,323899,11474259.095270678,11798158.095270678
1,8,0,335085,5566901.234218205,5901986.234218205
1,9,0,304909,10890672.525973571,11195581.525973571
1,10,0,319237,13324019.269891089,13643256.269891089
1,11,0,521035,3612605.218943787,4133640.218943787
1,12,100000000,470115,54231284.199665785,154701399.19966578
1,13,100000000,715748,19067411.271973938,119783159.27197394
1,14,0,303126,9027277.796929447,9330403.796929447
1,15,0,537271,4951422.301031432,5488693.301031432
1,16,0,335085,5566901.234218205,5901986.234218205
1,17,0,335085,5566901.234218205,5901986.234218205
1,18,0,505348,10066430.325774487,10571778.325774487
1,19,0,319438,4047410.7795817945,4366848.7795817945
1,20,0,303126,9027277.796929447,9330403.796929447
1,21,0,326721,5725654.975412135,6052375.975412135
1,22,0,294069,23868304.651794665,24162373.651794665
1,23,0,329488,4357369.223157114,4686857.223157114
1,24,0,311992,5138651.878551268,5450643.878551268
1,25,0,329488,4357369.223157114,4686857.223157114
1,26,0,489408,9229496.704670131,9718904.704670131
1,27,0,304909,10890672.525973571,11195581.525973571
1,28,0,327270,6369132.000676414,6696402.000676414
1,29,0,314450,5180531.631967544,5494981.631967544
1,30,0,319469,2623430.9045461803,2942899.9045461803
1,31,0,319469,2623430.9045461803,2942899.9045461803
1,32,0,339950,6028794.826507208,6368744.826507208
1,33,0,318343,2718673.155283236,3037016.155283236
1,34,0,312463,3031482.01198835,3343945.01198835
1,35,0,292945,8555822.276191764,8848767.276191764
1,36,0,327270,6369132.000676414,6696402.000676414
1,37,0,304909,10890672.525973571,11195581.525973571
1,38,0,318343,2718673.155283236,3037016.155283236
2,0,0,311992,5138651.878551268,5450643.878551268
2,1,0,521035,3612605.218943787,4133640.218943787
2,2,0,505348,10066430.325774487,10571778.325774487
2,3,100000000,528511,3095722.5587727167,103624233.55877271
2,4,0,335085,5566901.234218205,5901986.234218205
