generation,mean,standard_deviation,min_value,max_value
0,11743522.672149584,7138315.480960238,2942899.9045461803,26189665.880770784
1,9075507.57742715,16283640.924844244,2942899.9045461803,119783159.27197394
2,4996993.295227902,2231320.6301915576,2568924.3446177496,11195581.525973571
3,3758234.784313451,1249977.0071104304,2252858.11535874,7812803.454939536
4,7302875.065766827,19650232.0343753,2252858.11535874,104098851.9163229
5,2754946.6198878502,323309.1873230809,2252858.11535874,3770910.244596564
6,2609795.7871205937,400328.89541736594,1684232.6096455704,4279756.113777738
7,4522961.321446814,13997825.495574284,1684232.6096455704,102188094.90561685
8,6214658.497931902,27982104.811385605,1684232.6096455704,202079310.23286164
9,8112289.179051607,23708401.753619954,1684232.6096455704,101963635.38160194
