generation,individual,restriction_penalty,choice_penalty,accounting_penalty,fitness_value
0,0,0,341558,5020088.538457149,5361646.538457149
0,1,0,443482,2529410.9104089784,2972892.9104089784
0,2,0,304006,28171495.916397933,28475501.916397933
0,3,0,326300,5343593.502382454,5669893.502382454
0,4,0,305757,10360300.543407368,10666057.543407368
0,5,0,318629,4975190.189783919,5293819.189783919
0,6,0,396586,11090776.170467995,11487362.170467995
0,7,0,307029,12354927.671327747,12661956.671327747
0,8,0,334604,3204954.315730492,3539558.315730492
0,9,0,326300,5343593.502382454,5669893.502382454
0,10,0,319775,2034290.2307359262,2354065.230735926
0,11,0,330390,4300604.297712271,4630994.297712271
0,12,0,338090,3580258.826163161,3918348.826163161
0,13,0,332567,9992672.916108705,10325239.916108705
0,14,0,341558,5020088.538457149,5361646.538457149
0,15,0,330390,4300604.297712271,4630994.297712271
0,16,0,318629,4975190.189783919,5293819.189783919
0,17,0,288973,13238224.729566796,13527197.729566796
0,18,0,307029,12354927.671327747,12661956.671327747
0,19,0,321189,14928632.7601003,15249821.7601003
1,0,0,319775,2034290.2307359262,2354065.230735926
1,1,0,319775,2034290.2307359262,2354065.230735926
1,2,0,334604,3204954.315730492,3539558.315730492
1,3,0,319775,2034290.2307359262,2354065.230735926
1,4,0,330390,4300604.297712271,4630994.297712271
1,5,0,319775,2034290.2307359262,2354065.230735926
1,6,0,319775,2034290.2307359262,2354065.230735926
1,7,0,443482,2529410.9104089784,2972892.9104089784
1,8,0,334604,3204954.315730492,3539558.315730492
1,9,0,443482,2529410.9104089784,2972892.9104089784
1,10,0,319775,2034290.2307359262,2354065.230735926
1,11,0,334604,3204954.315730492,3539558.315730492
1,12,0,338090,3580258.826163161,3918348.826163161
1,13,0,547585,2100471.97793108,2648056.97793108
1,14,0,334604,3204954.315730492,3539558.315730492
1,15,0,319775,2034290.2307359262,2354065.230735926
2,0,0,319775,2034290.2307359262,2354065.230735926
2,1,0,319775,2034290.2307359262,2354065.230735926
2,2,0,443482,2529410.9104089784,2972892.9104089784
2,3,0,319775,2034290.2307359262,2354065.230735926
2,4,0,334604,3204954.315730492,3539558.315730492
2,5,0,319775,2034290.2307359262,2354065.230735926
2,6,0,319775,2034290.2307359262,2354065.230735926
2,7,0,334604,3204954.315730492,3539558.315730492
2,8,0,319775,2034290.2307359262,2354065.230735926
2,9,0,319775,2034290.2307359262,2354065.230735926
2,10,100000000,440249,3337262.0244379058,103777511.0244379
2,11,0,547405,1659164.836989375,2206569.836989375
2,12,0,334604,3204954.315730492,3539558.315730492
2,13,0,319775,2034290.2307359262,2354065.230735926
2,14,0,443482,2529410.9104089784,2972892.9104089784
2,15,0,319775,2034290.2307359262,2354065.230735926
3,0,0,319775,2034290.2307359262,2354065.230735926
3,1,0,319775,2034290.2307359262,2354065.230735926
3,2,0,319775,2034290.2307359262,2354065.230735926
3,3,0,319775,2034290.2307359262,2354065.230735926
3,4,100000000,439391,1961925.5562930815,102401316.55629309
3,5,0,319775,2034290.2307359262,2354065.230735926
3,6,0,319775,2034290.2307359262,2354065.230735926
3,7,0,319775,2034290.2307359262,2354065.230735926
3,8,0,443482,2529410.9104089784,2972892.9104089784
3,9,0,443482,2529410.9104089784,2972892.9104089784
3,10,0,319775,2034290.2307359262,2354065.230735926
3,11,0,319775,2034290.2307359262,2354065.230735926
3,12,0,319775,2034290.2307359262,2354065.230735926
