generation,mean,standard_deviation,min_value,max_value
0,369005599.3849023,232261777.08605856,1460326.7143245295,901748028.2624294
1,446793318.0493739,245593776.39955395,1460326.7143245295,901551821.1978968
2,351905885.93442893,229302659.12586346,1460326.7143245295,801382124.4195793
3,396007556.1260871,269208489.2794467,1460326.7143245295,902019629.9590234
4,242129057.2229158,214969791.45559293,1460326.7143245295,701965827.9380902
5,239906858.0555464,265720379.5441965,1460326.7143245295,901398087.76322
6,249712860.7638523,269487014.70681965,1460326.7143245295,804055609.2510458
7,483944873.2169947,522265251.149664,1460326.7143245295,1601378744.1321154
8,460201408.1710101,558719899.8417324,1460326.7143245295,1804633362.9196155
9,364353570.14499146,497072528.3406429,1460326.7143245295,1605665612.686742
