generation,individual,restriction_penalty,choice_penalty,accounting_penalty,fitness_value
0,0,800000000,1148597,1141113.6285360395,802289710.628536
0,1,900000000,1157617,590411.2624293945,901748028.2624294
0,2,700000000,1121001,825682.2868070605,701946683.2868071
0,3,700000000,1130768,609162.2304231054,701739930.2304231
0,4,300000000,707668,1161594.92806616,301869262.92806613
0,5,300000000,722696,1835675.8564569496,302558371.85645694
0,6,300000000,690113,1214945.4664889176,301905058.4664889
0,7,100000000,724131,1162276.5742831947,101886407.5742832
0,8,0,712699,1166192.8520264903,1878891.8520264903
0,9,500000000,726319,683487.7153042721,501409806.71530426
0,10,1000000000,1127991,1017728.7281125305,1002145719.7281126
0,11,300000000,725611,1162353.8249423516,301887964.82494235
0,12,200000000,722397,1120734.3807695745,201843131.38076958
0,13,900000000,1128722,467021.1927692598,901595743.1927693
0,14,300000000,731190,863288.779798661,301594478.7797987
0,15,700000000,1146761,2160876.184198369,703307637.1841984
0,16,600000000,1092368,167927.39517296036,601260295.395173
0,17,100000000,710539,1145896.763748329,101856435.76374833
0,18,200000000,704868,1848196.1712203305,202553064.17122033
0,19,300000000,722696,1835675.8564569496,302558371.85645694
0,20,100000000,700828,1161010.2399419332,101861838.23994194
0,21,400000000,729561,1813834.7730487469,402543395.77304876
0,22,400000000,729561,1813834.7730487469,402543395.77304876
0,23,700000000,1093220,477407.9222704162,701570627.9222704
0,24,100000000,725531,644077.5325317396,101369608.53253174
0,25,300000000,690113,1214945.4664889176,301905058.4664889
0,26,400000000,710877,1373278.1706567751,402084155.1706568
0,27,0,706510,753816.7143245295,1460326.7143245295
0,28,200000000,727943,1193855.7056651267,201921798.70566514
0,29,0,716817,1108081.4753843525,1824898.4753843525
0,30,600000000,1140078,6327196.932877144,607467274.9328772
0,31,900000000,1083180,900024.6600193863,901983204.6600194
0,32,600000000,1046814,2410412.1045997674,603457226.1045997
0,33,200000000,719770,1150620.8159212507,201870390.81592125
0,34,500000000,1121324,7500699.545021306,508622023.5450213
0,35,400000000,1113282,324140.9574506565,401437422.9574506
0,36,100000000,698914,798872.6317773964,101497786.63177739
0,37,100000000,725243,8447545.828562438,109172788.82856244
0,38,400000000,698630,802735.9863523936,401501365.9863524
0,39,200000000,707392,491082.2911356771,201198474.29113567
0,40,400000000,737241,1410159.1113837082,402147400.11138374
0,41,300000000,725611,1162353.8249423516,301887964.82494235
0,42,300000000,725611,1162353.8249423516,301887964.82494235
0,43,400000000,710877,1373278.1706567751,402084155.1706568
0,44,500000000,1122050,1639915.5213723273,502761965.5213723
0,45,300000000,726688,658313.879311183,301385001.8793112
0,46,700000000,1123269,661082.8225569653,701784351.822557
0,47,300000000,1117683,1613674.632853583,302731357.63285357
0,48,300000000,720750,438653.6947772052,301159403.6947772
0,49,200000000,718113,721959.7755580075,201440072.775558
1,0,700000000,1141806,12160580.587086305,713302386.5870863
1,1,400000000,710877,1373278.1706567751,402084155.1706568
1,2,400000000,1113282,324140.9574506565,401437422.9574506
1,3,500000000,1105027,1626939.3422479965,502731966.342248
1,4,900000000,1132233,366414.3162422395,901498647.3162422
1,5,900000000,1107179,881471.4745862961,901988650.4745862
1,6,800000000,1164084,553657.028006096,801717741.0280061
1,7,600000000,1136199,17261070.873554043,618397269.873554
1,8,800000000,1140862,950866.98584046,802091728.9858404
1,9,700000000,1101657,553307.0810226217,701654964.0810226
1,10,900000000,1084646,467175.1978968759,901551821.1978968
1,11,700000000,1125543,353721.8872244949,701479264.8872244
1,12,600000000,1110651,2530320.629629956,603640971.62963
1,13,600000000,1501541,740331.2802202101,602241872.2802202
1,14,800000000,1181896,1810813.2587031994,802992709.2587032
1,15,600000000,1071720,480246.24095639,601551966.2409564
1,16,800000000,1139888,867339.4354131261,802007227.4354131
1,17,800000000,1102559,6099586.681697842,807202145.6816978
1,18,400000000,1111731,2410853.141001199,403522584.1410012
1,19,1000000000,1104298,3284077.4828139814,1004388375.482814
1,20,500000000,1096102,409529.4565184529,501505631.4565185
1,21,400000000,1111352,564809.9710095715,401676161.97100955
1,22,600000000,1111014,1338649.752924246,602449663.7529242
1,23,200000000,1169047,123708.22302226837,201292755.22302228
1,24,700000000,1081779,760158.8787715185,701841937.8787715
1,25,500000000,1114211,1801987.4121377622,502916198.41213775
1,26,600000000,1105248,312314.62464747985,601417562.6246475
1,27,700000000,1095226,1975184.2998753414,703070410.2998754
2,0,800000000,1130293,251831.41957930507,801382124.4195793
2,1,700000000,1521295,210861.55967090925,701732156.5596709
2,2,700000000,1061459,470021.0326649362,701531480.0326649
2,3,300000000,1104397,683149.0058919167,301787546.0058919
2,4,300000000,690113,1214945.4664889176,301905058.4664889
2,5,300000000,722696,1835675.8564569496,302558371.85645694
2,6,500000000,1090277,1178313.4390161098,502268590.4390161
2,7,600000000,1111050,1290431.785358098,602401481.7853581
2,8,500000000,1091767,542774.8095133848,501634541.8095134
2,9,800000000,1473818,11819315.99063991,813293133.9906399
2,10,700000000,1153881,850201.1560185674,702004082.1560186
2,11,0,716817,1108081.4753843525,1824898.4753843525
2,12,400000000,1113282,324140.9574506565,401437422.9574506
2,13,400000000,710877,1373278.1706567751,402084155.1706568
2,14,500000000,1173805,2614674.055424845,503788479.05542487
2,15,300000000,1096691,106460.51359123156,301203151.51359123
2,16,700000000,1122208,847426.3446141566,701969634.3446141
2,17,400000000,1115773,571048.6980374975,401686821.6980375
2,18,1100000000,1145786,4143571.81437185,1105289357.8143718
2,19,600000000,1096994,314829.97726971994,601411823.9772698
2,20,700000000,1104389,1961358.930615096,703065747.9306151
2,21,200000000,719770,1150620.8159212507,201870390.81592125
2,22,300000000,707668,1161594.92806616,301869262.92806613
2,23,300000000,690113,1214945.4664889176,301905058.4664889
2,24,400000000,1118296,284240.9943817918,401402536.9943818
3,0,700000000,1091606,874221.9380902597,701965827.9380902
3,1,200000000,1175891,206909.45863725725,201382800.45863727
3,2,900000000,1141509,960954.8723308358,902102463.8723308
3,3,600000000,1077413,2600342.1285469965,603677755.128547
3,4,600000000,1124173,333626.866993483,601457799.8669934
3,5,900000000,1079991,3415115.332707395,904495106.3327074
3,6,700000000,1083466,763549.7384997723,701847015.7384998
3,7,300000000,722696,1835675.8564569496,302558371.85645694
3,8,300000000,1096691,106460.51359123156,301203151.51359123
3,9,600000000,1062284,173110.4632628104,601235394.4632628
3,10,900000000,1093396,926233.95902339,902019629.9590234
3,11,0,706510,753816.7143245295,1460326.7143245295
3,12,300000000,690113,1214945.4664889176,301905058.4664889
3,13,900000000,1119437,431181.3279734188,901550618.3279734
3,14,500000000,1154753,448296.58288430574,501603049.5828843
3,15,800000000,1462608,390804.4504320476,801853412.4504321
3,16,500000000,1095565,339079.99765207054,501434644.99765205
3,17,700000000,1470021,119952.4415979837,701589973.4415979
3,18,600000000,1844528,330849.3768034614,602175377.3768035
3,19,400000000,1076779,259174.68140629804,401335953.6814063
3,20,700000000,1157741,377402.1836351657,701535143.1836351
3,21,200000000,1111609,552520.4713517672,201664129.47135177
3,22,400000000,1104377,127532.0363273332,401231909.03632736
3,23,600000000,1115016,227426.22536896946,601342442.225369
3,24,400000000,1115773,571048.6980374975,401686821.6980375
3,25,800000000,1085818,1355702.4128103533,802441520.4128103
3,26,200000000,1045957,287973.87992780877,201333930.8799278
3,27,800000000,1147261,411630.61702413706,801558891.6170242
3,28,400000000,1098959,479442.99838573753,401578401.9983857
3,29,700000000,1530990,443478.2010553693,701974468.2010554
3,30,300000000,690113,1214945.4664889176,301905058.4664889
3,31,800000000,1172131,15516654.488611521,816688785.4886116
4,0,700000000,1083466,763549.7384997723,701847015.7384998
4,1,200000000,719770,1150620.8159212507,201870390.81592125
4,2,0,706510,753816.7143245295,1460326.7143245295
4,3,0,706510,753816.7143245295,1460326.7143245295
4,4,0,706510,753816.7143245295,1460326.7143245295
4,5,300000000,1119866,237280.07134116106,301357146.07134116
4,6,100000000,1479423,38534.935498857056,101517957.93549886
4,7,400000000,1498523,47799.31964791132,401546322.3196479
4,8,800000000,1126011,24009112.24316578,825135123.2431657
4,9,500000000,1128949,2050467.2555472844,503179416.2555473
4,10,300000000,1096691,106460.51359123156,301203151.51359123
4,11,0,716817,1108081.4753843525,1824898.4753843525
4,12,500000000,1532911,320851.66302521114,501853762.6630252
4,13,600000000,1492352,42902.4837713777,601535254.4837713
4,14,200000000,1519338,160032.0444479918,201679370.044448
4,15,300000000,1446360,73328.04305057265,301519688.0430506
4,16,300000000,1860195,256148.2502047117,302116343.2502047
4,17,500000000,1468956,202099.80659509974,501671055.8065951
4,18,400000000,1076779,259174.68140629804,401335953.6814063
4,19,0,706510,753816.7143245295,1460326.7143245295
4,20,0,706510,753816.7143245295,1460326.7143245295
4,21,400000000,1511046,399623.6178111404,401910669.61781114
4,22,300000000,1505033,635345.7999521968,302140378.7999522
4,23,400000000,1095347,24078229.79450616,425173576.79450613
4,24,800000000,1061746,16873345.40236591,817935091.4023659
5,0,0,716817,1108081.4753843525,1824898.4753843525
5,1,300000000,1096691,106460.51359123156,301203151.51359123
5,2,200000000,1519338,160032.0444479918,201679370.044448
5,3,0,706510,753816.7143245295,1460326.7143245295
5,4,400000000,1460688,146233.2091760471,401606921.20917606
