generation,mean,standard_deviation,min_value,max_value
0,10533501.735538598,5229771.902672219,2085163.6021689223,25132229.116957422
1,5791555.690350326,3168657.2680944954,2085163.6021689223,12201703.219395148
2,4380458.909385992,11059893.717607776,2085163.6021689223,101984479.3048769
3,2241955.8580385162,461663.9691715481,1782498.9762992817,4294813.711994291
4,2083966.4685500406,105047.62474692785,1782498.9762992817,2813277.185777607
5,2042016.518063736,92875.41016133597,1782498.9762992817,2085163.6021689223
6,1971202.9314392358,129895.85646015362,1782498.9762992817,2377420.1492718216
7,1868467.713200523,100330.89169069655,1782498.9762992817,2085163.6021689223
8,1803816.85580664,53783.21158496078,1658831.6874873727,2085163.6021689223
9,1783600.560480294,17080.234715258684,1658831.6874873727,1844690.531917745
10,1777825.801924964,23489.85010807545,1658831.6874873727,1782498.9762992817
11,1768024.790341463,104076.28320768623,1564766.1160802518,2456301.7250103327
12,1718099.7863449212,65597.28329145203,1564766.1160802518,1782498.9762992817
13,1684365.214080007,113962.49480506383,1564766.1160802518,2310648.426925047
14,1632418.71469152,66036.5049830508,1564766.1160802518,2046406.4883378833
