generation,mean,standard_deviation,min_value,max_value
0,9759379.639482846,5540675.052329136,1650109.6348614616,22919886.1546514
1,8897910.365861485,26151244.015541546,1341051.4749531439,204574598.35491577
2,12027815.543421771,32396388.818338092,1208146.8179134629,203249533.5491738
3,23844784.86592389,48518078.68099918,1208146.8179134629,306178470.5649726
4,26532373.37937011,44819539.28049997,1208146.8179134629,203840956.76697722
5,71703867.92960906,47269561.95582179,1208146.8179134629,204399019.46367648
6,80822858.86753017,43485919.970743634,1208146.8179134629,238351345.51480705
7,83502161.58823314,39419389.14710351,1208146.8179134629,105466056.78724034
8,80676711.78987484,42391214.616407186,1208146.8179134629,203826088.788801
9,73151413.05050588,45749396.80654716,1208146.8179134629,106307909.29989347
10,78847807.02202898,42655999.944433615,1208146.8179134629,108601230.52318728
11,77579043.71800336,44292521.56384337,1208146.8179134629,202609872.80771503
12,81645786.49579777,41663410.22486502,1208146.8179134629,204029948.23483467
13,75217086.33043307,48028219.767011456,1208146.8179134629,204094881.96476996
14,74900502.29062845,45016188.84103589,1208146.8179134629,106565867.8517555
15,80799102.3491247,43989737.172347486,1208146.8179134629,203852643.2839506
16,73406687.9073908,47362272.19255823,1208146.8179134629,202870392.133695
17,73210414.51348843,46568579.48256128,1208146.8179134629,201881546.07973546
18,76347654.93913679,46016680.33238563,1208146.8179134629,206847524.14877665
19,76667417.10816294,44967149.48535136,1208146.8179134629,203504182.5043747
