generation,mean,standard_deviation,min_value,max_value
0,7773068.126285036,3654413.7207780075,3026244.9346755305,17922234.66221594
1,9714373.698819604,33271961.474574316,1729279.054114186,210299231.0215622
2,11224633.742135737,36176997.43307627,1729279.054114186,205544418.67937344
3,5461033.632624094,16108243.087490017,1729279.054114186,107719917.96100768
4,5503894.809018815,16214199.272760669,1725543.2772586958,104717072.87094119
5,6376992.619847345,23679049.109097697,1725543.2772586958,202271215.07757953
6,2740175.820976363,697401.8342782243,1725543.2772586958,3772820.7748633963
7,5333073.113563565,15728730.193303887,1725543.2772586958,103954103.16920564
8,4498939.658259042,13795235.722422853,1725543.2772586958,114099783.41048507
9,3742249.9418806513,9270350.599720582,1725543.2772586958,103195477.93003479
10,5233293.1976241,20166974.218483325,1725543.2772586958,202623137.7967133
11,9065794.680027839,27834590.441704206,1725543.2772586958,204146789.79904243
12,8877324.695157876,30660133.672454916,1725543.2772586958,202739855.7633264
13,6157969.201717642,22378518.118914403,1725543.2772586958,204470669.89773813
14,2821756.316847626,686613.7736053168,1725543.2772586958,4787376.291868769
15,9989780.236167017,37457380.60661602,1725543.2772586958,303929185.4186238
16,3672982.2999468185,9306469.745828282,1725543.2772586958,105119619.7987592
17,10352512.927180776,39668301.4039285,1725543.2772586958,305235322.2274855
18,6434797.827430205,18989367.68199606,1725543.2772586958,106911096.31998233
19,7178299.58135925,24205842.369513895,1725543.2772586958,203994343.6880957
