generation,fitness_value
0,1497818.1468456641
1,1497818.1468456641
2,1497508.5776406338
3,1497508.5776406338
4,1497508.5776406338
5,1497508.5776406338
6,1497508.5776406338
7,1497508.5776406338
8,1497508.5776406338
9,1497508.5776406338
10,1497508.5776406338
11,1497508.5776406338
12,1497508.5776406338
13,1497508.5776406338
14,1497508.5776406338
15,1497508.5776406338
16,1497508.5776406338
17,1497508.5776406338
18,1497508.5776406338
19,1497508.5776406338
20,1497508.5776406338
21,1497508.5776406338
22,1497508.5776406338
23,1497508.5776406338
24,1497508.5776406338
25,1497508.5776406338
26,1497508.5776406338
27,1497508.5776406338
28,1497508.5776406338
29,1497508.5776406338
30,1497508.5776406338
31,1497508.5776406338
32,1497508.5776406338
33,1497508.5776406338
34,1497508.5776406338
35,1497508.5776406338
36,1497508.5776406338
37,1497508.5776406338
38,1497508.5776406338
39,1497508.5776406338
