generation,mean,standard_deviation,min_value,max_value
0,7620529.784452286,4161406.925766439,1497818.1468456641,16302135.00860647
1,1906259.638580966,780449.3648883062,1497818.1468456641,4349145.793019728
2,4760766.432363468,25131275.637356654,1497508.5776406338,201852264.22020233
3,6850062.530587961,25672053.533232007,1497508.5776406338,202367934.0891705
4,4945033.917771248,15431759.235141955,1497508.5776406338,103793169.86453915
5,2509099.9827404073,683244.2561379422,1497508.5776406338,2976592.0992700225
6,5885943.234678308,18149773.675725766,1497508.5776406338,108143703.5785391
7,2440053.738811529,708352.43095409,1497508.5776406338,2976592.0992700225
8,5810533.338305445,22323529.39569805,1497508.5776406338,202612480.2596294
9,7152108.803938113,27915550.028603386,1497508.5776406338,202313280.92619538
10,3423769.115040814,9018507.350678602,1497508.5776406338,101470939.57269262
11,7474833.484670534,25185569.74003357,1497508.5776406338,202998734.90405682
12,6766689.090009708,24195224.640661635,1497508.5776406338,203774889.4475252
13,7565704.335714381,25453968.00829167,1497508.5776406338,203515777.61321324
14,4896171.634216673,19961190.403244816,1497508.5776406338,203026527.4576465
15,3266570.954605704,8931931.55698143,1497508.5776406338,102337660.02573119
16,3297658.609987757,9204625.757651905,1497508.5776406338,102896339.4835134
17,3195698.6983749666,9001504.32630797,1497508.5776406338,103026275.56121065
18,5791683.640060249,22476676.09468074,1497508.5776406338,203200828.604186
19,2591323.090048778,645832.7882420846,1497508.5776406338,2976592.0992700225
20,2485329.0078927274,693476.5439785555,1497508.5776406338,2976592.0992700225
21,2465179.496961785,701335.8453757252,1497508.5776406338,2976592.0992700225
22,4286625.249866079,12809607.498879338,1497508.5776406338,102595734.28764269
23,2531908.018655657,685846.2693248354,1497508.5776406338,3596255.844390961
24,2486418.895097308,734954.307707394,1497508.5776406338,4761901.073434945
25,4786575.565467086,19889753.275842734,1497508.5776406338,202159881.626924
26,7391330.949067282,28142813.747878473,1497508.5776406338,202240323.09330633
27,2538783.376867725,675188.2622789905,1497508.5776406338,2976592.0992700225
28,3370512.444348652,8960373.110248404,1497508.5776406338,102647618.94750246
29,6483053.551190365,23821614.452725586,1497508.5776406338,202498637.0491797
30,2510235.8843191476,684141.7893090928,1497508.5776406338,2976592.0992700225
31,6502154.481894987,23453265.789122123,1497508.5776406338,202733726.51290014
32,8200121.616698672,29644442.967658766,1497508.5776406338,203632840.87623253
33,2491452.7041755845,694407.2668865414,1497508.5776406338,2976592.0992700225
34,6987334.780856158,38433105.87624414,1497508.5776406338,403646494.8240313
35,5657217.178078279,25317829.669809967,1497508.5776406338,204507123.26116025
36,3256425.7516165753,9156684.01767152,1497508.5776406338,103675056.1588719
37,8168475.699381324,37039350.885138184,1497508.5776406338,304091699.37651557
38,6567541.573106789,26542426.61222212,1497508.5776406338,202618693.82055733
39,2396791.3587913034,722083.6671819412,1497508.5776406338,2976592.0992700225
