generation,mean,standard_deviation,min_value,max_value
0,10134298.776891945,5432995.484821354,2312114.593415028,26169723.820038915
1,6736931.023672869,3178434.5878547514,2312114.593415028,13464209.987679249
2,4640990.157291654,2119676.353353466,2312114.593415028,9937016.555812666
3,3112293.764728303,1124097.345506617,1689513.381449886,5735370.651790264
4,2463919.0410931692,510915.8844560146,1689513.381449886,4362824.851426752
5,2260479.4991698833,135253.5862945565,1689513.381449886,2312114.593415028
6,2181451.997384184,205134.66924520826,1689513.381449886,2312114.593415028
7,2037532.5206969113,247104.0720922824,1689513.381449886,2312114.593415028
8,1808174.3157373643,140032.99449748071,1689513.381449886,2027061.6610655154
9,1730576.9814075634,86722.27437473,1611390.1141523984,1902643.7079680215
