generation,fitness_value
0,2260312.2759404853
1,2260312.2759404853
2,2260312.2759404853
3,2260312.2759404853
4,1606561.0487689388
5,1606561.0487689388
6,1606561.0487689388
7,1606561.0487689388
8,1606561.0487689388
9,1606561.0487689388
10,1606561.0487689388
11,1606561.0487689388
12,1606561.0487689388
13,1606561.0487689388
14,1606561.0487689388
15,1606561.0487689388
16,1606561.0487689388
17,1606561.0487689388
18,1606561.0487689388
19,1606561.0487689388
20,1606561.0487689388
21,1606561.0487689388
22,1606561.0487689388
23,1606561.0487689388
24,1606561.0487689388
