generation,mean,standard_deviation,min_value,max_value
0,9399628.120535074,4113609.9985219743,1814837.6180991717,19609010.230783604
1,3002297.397099208,1568217.8115969244,1751780.2022063914,6198530.183010847
2,1774577.1141819453,56896.961655252046,1441305.2354501446,1814837.6180991717
3,1590333.219493143,155113.24367564562,1441305.2354501446,1751780.2022063914
4,1441305.2354501446,0.0,1441305.2354501446,1441305.2354501446
5,1441282.902486605,156.33074477791322,1440188.5872731595,1441305.2354501446
6,1440970.2409970493,511.712479566864,1440188.5872731595,1441305.2354501446
7,1440188.58727316,4.656612873077393e-10,1440188.5872731595,1440188.5872731595
8,1440188.58727316,4.656612873077393e-10,1440188.5872731595,1440188.5872731595
9,1440188.58727316,4.656612873077393e-10,1440188.5872731595,1440188.5872731595
