generation,individual,restriction_penalty,choice_penalty,accounting_penalty,fitness_value
0,0,0,296612,13532579.215439025,13829191.215439025
0,1,0,297420,24492501.40939811,24789921.40939811
0,2,0,288436,49815715.64486695,50104151.64486695
0,3,0,332894,8476276.641958872,8809170.641958872
0,4,0,294393,9410751.755479464,9705144.755479464
0,5,0,305620,7091542.682554383,7397162.682554383
0,6,0,317647,12447034.192648238,12764681.192648238
0,7,0,741961,5021185.352179299,5763146.352179299
0,8,0,316745,5533044.293805412,5849789.293805412
0,9,0,316745,5533044.293805412,5849789.293805412
0,10,0,306458,9323608.94520832,9630066.94520832
0,11,0,305620,7091542.682554383,7397162.682554383
0,12,0,318965,14457904.748534232,14776869.748534232
0,13,0,298088,9809143.73803015,10107231.73803015
0,14,0,329190,5086494.36038804,5415684.36038804
0,15,0,311553,6579177.694452241,6890730.694452241
0,16,0,298088,9809143.73803015,10107231.73803015
0,17,0,312826,12503144.240692848,12815970.240692848
0,18,0,302459,19228195.54674559,19530654.54674559
0,19,100000000,837958,3895348.3509526844,104733306.35095268
0,20,0,328578,7452406.387020099,7780984.387020099
0,21,0,294393,9410751.755479464,9705144.755479464
0,22,0,286535,37194086.81472158,37480621.81472158
0,23,0,317647,12447034.192648238,12764681.192648238
0,24,0,305915,19700076.050293513,20005991.050293513
0,25,0,305915,19700076.050293513,20005991.050293513
0,26,0,844778,16526146.47147598,17370924.47147598
0,27,0,313174,5885356.183010847,6198530.183010847
0,28,200000000,808805,207092634.34891456,407901439.34891456
0,29,0,339139,1475698.6180991717,1814837.6180991717
0,30,0,332894,8476276.641958872,8809170.641958872
0,31,0,302150,7068950.884385244,7371100.884385244
0,32,0,316745,5533044.293805412,5849789.293805412
0,33,0,299637,6114822.150072431,6414459.150072431
0,34,0,328578,7452406.387020099,7780984.387020099
0,35,0,303939,12755234.816574676,13059173.816574676
0,36,0,303135,12893733.326585291,13196868.326585291
0,37,200000000,764376,3470010.9080838123,204234386.90808383
0,38,0,296612,13532579.215439025,13829191.215439025
0,39,0,299637,6114822.150072431,6414459.150072431
0,40,0,303745,2925003.348613915,3228748.348613915
0,41,0,288953,13254329.905653048,13543282.905653048
0,42,0,329190,5086494.36038804,5415684.36038804
0,43,0,302150,7068950.884385244,7371100.884385244
0,44,0,894888,76013083.57614642,76907971.57614642
0,45,0,288436,49815715.64486695,50104151.64486695
0,46,0,306458,9323608.94520832,9630066.94520832
0,47,0,337951,6433618.189829389,6771569.189829389
0,48,0,323172,19285838.230783604,19609010.230783604
0,49,0,329190,5086494.36038804,5415684.36038804
1,0,0,329190,5086494.36038804,5415684.36038804
1,1,100000000,901177,7212001.423038291,108113178.42303829
1,2,0,303745,2925003.348613915,3228748.348613915
1,3,0,339139,1475698.6180991717,1814837.6180991717
1,4,0,303745,2925003.348613915,3228748.348613915
1,5,100000000,824417,1399066.773259319,102223483.77325931
1,6,0,339139,1475698.6180991717,1814837.6180991717
1,7,0,339139,1475698.6180991717,1814837.6180991717
1,8,0,339139,1475698.6180991717,1814837.6180991717
1,9,0,329190,5086494.36038804,5415684.36038804
1,10,0,303745,2925003.348613915,3228748.348613915
1,11,0,856423,1987751.850279575,2844174.850279575
1,12,0,303745,2925003.348613915,3228748.348613915
1,13,0,303745,2925003.348613915,3228748.348613915
1,14,0,329190,5086494.36038804,5415684.36038804
1,15,0,907317,844463.2022063913,1751780.2022063914
1,16,0,303745,2925003.348613915,3228748.348613915
1,17,0,303745,2925003.348613915,3228748.348613915
1,18,0,339139,1475698.6180991717,1814837.6180991717
1,19,0,303745,2925003.348613915,3228748.348613915
1,20,0,861885,991681.6550480638,1853566.655048064
1,21,0,339139,1475698.6180991717,1814837.6180991717
