generation,mean,standard_deviation,min_value,max_value
0,10553986.07972033,6167461.681507017,1020260.155362579,25073344.33654264
1,2459282.184701563,6758724.944660582,1020260.155362579,102172188.4160677
2,2544406.541982575,9739511.31432366,1020260.155362579,102876869.3504089
3,2706312.746907923,9782672.002073519,919017.3236040708,101488553.46888725
4,4109960.424127227,21164687.92720447,919017.3236040708,203523065.5413089
5,5234044.956943532,23612359.506606005,919017.3236040708,202286230.98776102
6,2705557.219379987,11964209.291530501,919017.3236040708,101841886.9046753
7,2446460.562286613,11903947.62146455,919017.3236040708,101603036.546013
8,1013102.8805472648,71277.55949313403,919017.3236040708,1537097.27516402
9,4220154.630947618,17626531.325474393,919017.3236040708,102305140.3122784
