generation,individual,restriction_penalty,choice_penalty,accounting_penalty,fitness_value
0,0,0,343783,11359840.170140268,11703623.170140268
0,1,0,315527,14864193.677419402,15179720.677419402
0,2,0,303282,8470049.97208175,8773331.97208175
0,3,0,320580,13843501.889910663,14164081.889910663
0,4,0,298293,7440411.76189218,7738704.76189218
0,5,0,328125,12775755.876564218,13103880.876564218
0,6,0,331101,8835166.536005469,9166267.536005469
0,7,0,296156,29505860.416358117,29802016.416358117
0,8,0,315527,14864193.677419402,15179720.677419402
0,9,0,315527,14864193.677419402,15179720.677419402
0,10,0,315527,14864193.677419402,15179720.677419402
0,11,0,319121,10127574.903538635,10446695.903538635
0,12,0,306840,12101118.81213186,12407958.81213186
0,13,0,464811,16669683.96062188,17134494.96062188
0,14,0,314588,3936802.4958976926,4251390.495897693
0,15,0,331101,8835166.536005469,9166267.536005469
0,16,0,296156,29505860.416358117,29802016.416358117
0,17,0,325034,7307402.384282933,7632436.384282933
0,18,0,328767,2680633.6320295436,3009400.6320295436
0,19,0,328125,12775755.876564218,13103880.876564218
0,20,0,299841,9900544.427689388,10200385.427689388
0,21,0,322751,6969938.923501957,7292689.923501957
0,22,0,322751,6969938.923501957,7292689.923501957
0,23,0,325326,5464105.751230317,5789431.751230317
0,24,0,316172,3843873.0389893055,4160045.0389893055
1,0,0,328767,2680633.6320295436,3009400.6320295436
1,1,0,328767,2680633.6320295436,3009400.6320295436
1,2,0,328767,2680633.6320295436,3009400.6320295436
1,3,0,328767,2680633.6320295436,3009400.6320295436
1,4,0,328767,2680633.6320295436,3009400.6320295436
1,5,0,328767,2680633.6320295436,3009400.6320295436
1,6,0,328767,2680633.6320295436,3009400.6320295436
1,7,100000000,478602,3097233.6651519965,103575835.665152
1,8,0,328767,2680633.6320295436,3009400.6320295436
1,9,0,328767,2680633.6320295436,3009400.6320295436
1,10,0,328767,2680633.6320295436,3009400.6320295436
1,11,0,328767,2680633.6320295436,3009400.6320295436
1,12,0,328767,2680633.6320295436,3009400.6320295436
1,13,0,316172,3843873.0389893055,4160045.0389893055
1,14,0,314588,3936802.4958976926,4251390.495897693
1,15,0,328767,2680633.6320295436,3009400.6320295436
1,16,0,328767,2680633.6320295436,3009400.6320295436
1,17,0,328767,2680633.6320295436,3009400.6320295436
2,0,0,328767,2680633.6320295436,3009400.6320295436
2,1,0,328767,2680633.6320295436,3009400.6320295436
2,2,0,328767,2680633.6320295436,3009400.6320295436
2,3,0,328767,2680633.6320295436,3009400.6320295436
2,4,0,328767,2680633.6320295436,3009400.6320295436
2,5,0,328767,2680633.6320295436,3009400.6320295436
2,6,0,328767,2680633.6320295436,3009400.6320295436
2,7,0,328767,2680633.6320295436,3009400.6320295436
2,8,0,328767,2680633.6320295436,3009400.6320295436
2,9,0,316172,3843873.0389893055,4160045.0389893055
2,10,0,328767,2680633.6320295436,3009400.6320295436
2,11,0,328767,2680633.6320295436,3009400.6320295436
2,12,0,328767,2680633.6320295436,3009400.6320295436
2,13,0,328767,2680633.6320295436,3009400.6320295436
2,14,0,316172,3843873.0389893055,4160045.0389893055
2,15,0,316172,3843873.0389893055,4160045.0389893055
2,16,0,328767,2680633.6320295436,3009400.6320295436
2,17,0,454544,2859391.6494834516,3313935.6494834516
3,0,0,328767,2680633.6320295436,3009400.6320295436
3,1,0,328767,2680633.6320295436,3009400.6320295436
3,2,0,328767,2680633.6320295436,3009400.6320295436
3,3,0,328767,2680633.6320295436,3009400.6320295436
3,4,0,328767,2680633.6320295436,3009400.6320295436
3,5,0,328767,2680633.6320295436,3009400.6320295436
3,6,0,328767,2680633.6320295436,3009400.6320295436
3,7,0,328767,2680633.6320295436,3009400.6320295436
3,8,0,328767,2680633.6320295436,3009400.6320295436
3,9,0,328767,2680633.6320295436,3009400.6320295436
3,10,0,328767,2680633.6320295436,3009400.6320295436
3,11,0,328767,2680633.6320295436,3009400.6320295436
3,12,0,328767,2680633.6320295436,3009400.6320295436
3,13,0,328767,2680633.6320295436,3009400.6320295436
3,14,0,328767,2680633.6320295436,3009400.6320295436
3,15,0,328767,2680633.6320295436,3009400.6320295436
4,0,0,328767,2680633.6320295436,3009400.6320295436
4,1,0,328767,2680633.6320295436,3009400.6320295436
4,2,0,328767,2680633.6320295436,3009400.6320295436
4,3,0,328767,2680633.6320295436,3009400.6320295436
4,4,0,328767,2680633.6320295436,3009400.6320295436
4,5,0,328767,2680633.6320295436,3009400.6320295436
4,6,0,328767,2680633.6320295436,3009400.6320295436
4,7,0,328767,2680633.6320295436,3009400.6320295436
4,8,0,316172,3843873.0389893055,4160045.0389893055
4,9,0,328767,2680633.6320295436,3009400.6320295436
4,10,0,328767,2680633.6320295436,3009400.6320295436
4,11,0,328767,2680633.6320295436,3009400.6320295436
4,12,0,328767,2680633.6320295436,3009400.6320295436
4,13,0,328767,2680633.6320295436,3009400.6320295436
5,0,0,328767,2680633.6320295436,3009400.6320295436
5,1,0,328767,2680633.6320295436,3009400.6320295436
5,2,0,328767,2680633.6320295436,3009400.6320295436
5,3,0,328767,2680633.6320295436,3009400.6320295436
5,4,0,328767,2680633.6320295436,3009400.6320295436
5,5,0,328767,2680633.6320295436,3009400.6320295436
5,6,0,328767,2680633.6320295436,3009400.6320295436
5,7,0,328767,2680633.6320295436,3009400.6320295436
5,8,0,464367,3296793.429087901,3761160.429087901
5,9,0,328767,2680633.6320295436,3009400.6320295436
5,10,0,328767,2680633.6320295436,3009400.6320295436
5,11,0,328767,2680633.6320295436,3009400.6320295436
