generation,individual,restriction_penalty,choice_penalty,accounting_penalty,fitness_value
0,0,0,310427,2147488.3522919603,2457915.3522919603
0,1,0,310967,2469819.8984325547,2780786.8984325547
0,2,0,316857,9322432.313886246,9639289.313886246
0,3,0,315253,7121839.002729004,7437092.002729004
0,4,0,320670,9274561.629764292,9595231.629764292
0,5,0,305013,11284836.954730758,11589849.954730758
0,6,0,303537,7858237.941426981,8161774.941426981
0,7,0,317852,14428390.346067024,14746242.346067024
0,8,0,327801,6258596.159372485,6586397.159372485
0,9,0,283032,7569257.744929067,7852289.744929067
0,10,0,309489,2393124.27513908,2702613.27513908
0,11,0,316928,12340183.20055739,12657111.20055739
0,12,0,321929,6309175.64819921,6631104.64819921
0,13,0,324627,13448814.176928783,13773441.176928783
0,14,0,310967,2469819.8984325547,2780786.8984325547
0,15,0,318049,16553903.901697198,16871952.901697196
0,16,0,324627,13448814.176928783,13773441.176928783
0,17,0,545663,5644165.737719566,6189828.737719566
0,18,0,308069,7702909.379267848,8010978.379267848
0,19,0,299740,10416078.33705809,10715818.33705809
0,20,0,304515,19892499.193025824,20197014.193025824
0,21,0,317756,14464244.534598136,14782000.534598136
0,22,0,279819,28209063.700600456,28488882.700600456
0,23,0,310550,12387309.785147414,12697859.785147414
0,24,0,503896,4416034.322209529,4919930.322209529
0,25,0,316928,12340183.20055739,12657111.20055739
0,26,0,303537,7858237.941426981,8161774.941426981
0,27,0,336230,10967718.488068072,11303948.488068072
0,28,0,283032,7569257.744929067,7852289.744929067
0,29,0,540069,3944632.52901206,4484701.52901206
0,30,0,303537,7858237.941426981,8161774.941426981
0,31,0,330525,9009338.13391191,9339863.13391191
0,32,0,338390,3626941.3498813096,3965331.3498813096
0,33,0,303537,7858237.941426981,8161774.941426981
0,34,0,309489,2393124.27513908,2702613.27513908
0,35,0,544984,3644176.355881696,4189160.355881696
0,36,0,321929,6309175.64819921,6631104.64819921
0,37,0,320670,9274561.629764292,9595231.629764292
0,38,0,305166,5227750.702751725,5532916.702751725
0,39,0,304515,19892499.193025824,20197014.193025824
0,40,0,310427,2147488.3522919603,2457915.3522919603
0,41,0,294524,27053363.766614746,27347887.766614746
0,42,0,305013,11284836.954730758,11589849.954730758
0,43,0,279175,31195923.748745583,31475098.748745583
0,44,0,308069,7702909.379267848,8010978.379267848
0,45,0,318951,16768394.74911081,17087345.74911081
0,46,0,283032,7569257.744929067,7852289.744929067
0,47,0,305166,5227750.702751725,5532916.702751725
0,48,0,308405,4597722.731590646,4906127.731590646
0,49,0,329791,14742924.714843756,15072715.714843756
1,0,0,310427,2147488.3522919603,2457915.3522919603
1,1,0,310427,2147488.3522919603,2457915.3522919603
1,2,0,310427,2147488.3522919603,2457915.3522919603
1,3,0,310427,2147488.3522919603,2457915.3522919603
1,4,0,310427,2147488.3522919603,2457915.3522919603
1,5,0,310427,2147488.3522919603,2457915.3522919603
1,6,0,309489,2393124.27513908,2702613.27513908
1,7,0,310427,2147488.3522919603,2457915.3522919603
1,8,0,310967,2469819.8984325547,2780786.8984325547
1,9,0,310427,2147488.3522919603,2457915.3522919603
1,10,0,310427,2147488.3522919603,2457915.3522919603
1,11,0,309489,2393124.27513908,2702613.27513908
1,12,0,310427,2147488.3522919603,2457915.3522919603
1,13,0,310967,2469819.8984325547,2780786.8984325547
1,14,0,309489,2393124.27513908,2702613.27513908
1,15,0,310427,2147488.3522919603,2457915.3522919603
1,16,0,310427,2147488.3522919603,2457915.3522919603
