generation,mean,standard_deviation,min_value,max_value
0,7601080.392077258,3298937.2237387993,2457915.3522919603,13773441.176928783
1,2683627.365705516,525814.9755699112,2457915.3522919603,4906127.731590646
2,2530570.585806086,492139.306937991,2051016.4701290824,5862869.59743863
3,2588627.168081706,743296.2641644715,1773344.0538940222,7006666.446708212
4,6496373.366813874,28248429.194976963,1773344.0538940222,204212337.06733194
5,4361191.402125733,14441581.596796231,1773344.0538940222,102288917.52697739
6,2238852.53680462,319336.1847640131,1773344.0538940222,2457915.3522919603
7,9116801.055995783,25621755.068259183,1773344.0538940222,108364330.39321157
8,2293618.2406764547,292368.85288357845,1773344.0538940222,2457915.3522919603
9,2286772.527692476,296428.06755715585,1773344.0538940222,2457915.3522919603
