generation,individual,restriction_penalty,choice_penalty,accounting_penalty,fitness_value
0,0,0,666488,1164366.6088533304,1830854.6088533304
0,1,800000000,1105780,910898.2634950271,802016678.263495
0,2,900000000,1089264,870787.7137144419,901960051.7137145
0,3,500000000,1059843,1111502.2979777646,502171345.29797775
0,4,0,666488,1164366.6088533304,1830854.6088533304
0,5,600000000,1125676,1832043.8453621988,602957719.8453622
0,6,0,666488,1164366.6088533304,1830854.6088533304
0,7,0,666488,1164366.6088533304,1830854.6088533304
0,8,0,666488,1164366.6088533304,1830854.6088533304
0,9,0,666488,1164366.6088533304,1830854.6088533304
0,10,0,666488,1164366.6088533304,1830854.6088533304
0,11,0,666488,1164366.6088533304,1830854.6088533304
0,12,400000000,1104079,1948273.9661037056,403052352.96610373
0,13,0,666488,1164366.6088533304,1830854.6088533304
0,14,0,666488,1164366.6088533304,1830854.6088533304
0,15,400000000,1014982,6167330.237691661,407182312.23769164
0,16,500000000,1106668,13491685.124339394,514598353.1243394
0,17,1100000000,1038536,2054883.6265642515,1103093419.6265643
0,18,0,666488,1164366.6088533304,1830854.6088533304
0,19,0,666488,1164366.6088533304,1830854.6088533304
0,20,500000000,1036717,193358.8179135877,501230075.8179136
0,21,200000000,1041708,380012.2478162082,201421720.2478162
0,22,400000000,1121081,1041130.773853102,402162211.7738531
0,23,0,666488,1164366.6088533304,1830854.6088533304
0,24,0,666488,1164366.6088533304,1830854.6088533304
0,25,500000000,1074906,615335.8304951875,501690241.8304952
0,26,0,666488,1164366.6088533304,1830854.6088533304
0,27,0,666488,1164366.6088533304,1830854.6088533304
0,28,300000000,1026409,588624.3302362979,301615033.3302363
0,29,900000000,1024514,476876.81632536545,901501390.8163253
0,30,0,666488,1164366.6088533304,1830854.6088533304
0,31,0,666488,1164366.6088533304,1830854.6088533304
0,32,800000000,1077004,844740.199027244,801921744.1990273
0,33,0,666488,1164366.6088533304,1830854.6088533304
0,34,0,666488,1164366.6088533304,1830854.6088533304
0,35,0,666488,1164366.6088533304,1830854.6088533304
0,36,900000000,1054556,2016500.7331940767,903071056.7331941
0,37,600000000,1098927,324672.3813721557,601423599.3813722
0,38,0,666488,1164366.6088533304,1830854.6088533304
0,39,0,666488,1164366.6088533304,1830854.6088533304
0,40,0,666488,1164366.6088533304,1830854.6088533304
0,41,800000000,1076212,281285.1411451917,801357497.1411452
0,42,0,666488,1164366.6088533304,1830854.6088533304
0,43,600000000,1065509,5777655.142920583,606843164.1429206
0,44,0,666488,1164366.6088533304,1830854.6088533304
0,45,0,666488,1164366.6088533304,1830854.6088533304
0,46,0,666488,1164366.6088533304,1830854.6088533304
0,47,0,666488,1164366.6088533304,1830854.6088533304
0,48,0,666488,1164366.6088533304,1830854.6088533304
0,49,900000000,997410,749445.4780845335,901746855.4780846
1,0,0,666488,1164366.6088533304,1830854.6088533304
1,1,600000000,1434918,220758.43694737283,601655676.4369473
1,2,400000000,1073015,1123355.3720253836,402196370.3720254
1,3,800000000,1070424,2752782.8774371864,803823206.8774372
1,4,700000000,1038762,638863.518203291,701677625.5182033
1,5,600000000,1055408,6022616.5766506,607078024.5766506
1,6,900000000,1010187,1449457.2402052912,902459644.2402053
1,7,500000000,1069941,299256.08843044,501369197.08843046
1,8,500000000,1033691,1143205.5832538859,502176896.58325386
1,9,700000000,1103095,166305.1896617861,701269400.1896617
1,10,0,666488,1164366.6088533304,1830854.6088533304
1,11,600000000,1475893,43073726.42604725,644549619.4260472
