generation,mean,standard_deviation,min_value,max_value
0,223162041.37236404,313331230.8315868,1830854.6088533304,901960051.7137145
1,246877230.13998878,293352370.6967989,1830854.6088533304,803823206.8774372
2,284445911.2372335,312962858.2189639,1830854.6088533304,1003358411.1878955
3,212046198.73849505,294497215.16461736,1830854.6088533304,1001267689.4322783
4,272528850.9184794,334764318.90455204,1830854.6088533304,1001438244.3245484
5,240149955.5125852,272840193.8125592,1830854.6088533304,901842240.7613819
6,190459093.72839752,225547975.50797307,1830854.6088533304,603799535.3476835
7,358856276.03179365,553587716.6490127,1830854.6088533304,1606855211.4550416
8,485857141.26727456,647131925.8199053,1830854.6088533304,1703183004.6444387
9,621663893.303571,714163421.6372795,1830854.6088533304,1902689498.993823
