generation,mean,standard_deviation,min_value,max_value
0,13295436.226407435,14464626.049223745,1370739.0889286776,101332233.82604381
1,7528455.928780603,4622469.341075681,1370739.0889286776,18169196.834682196
2,4418395.708978107,2922117.0164670963,1370739.0889286776,11652826.332311593
3,2589281.327043584,1586747.4867042494,1370739.0889286776,6699125.77017947
4,3703585.144687704,14059963.93535316,1370739.0889286776,102030759.35668065
5,1407666.3915594965,110781.90789245786,1370739.0889286776,1740012.1152368705
6,1370739.0889286778,2.3283064365386963e-10,1370739.0889286776,1370739.0889286776
7,14051101.210570164,44748010.97429556,1370739.0889286776,203584842.9757441
8,23793103.454541683,64980903.40394152,1370739.0889286776,302584328.1649251
9,27900615.08749148,60462314.462191395,1370739.0889286776,207572738.03273576
