generation,mean,standard_deviation,min_value,max_value
0,8306294.952147645,3769995.31527201,2983927.688403243,16921769.284705624
1,9850848.814185606,24918796.39974062,2436770.00544301,107216667.76916406
2,3015814.7503678654,310251.3850929892,2395406.5513292104,4047544.681415367
3,3163431.6171983713,653988.8572934472,2395406.5513292104,4568500.836418327
4,5538684.050921091,14017341.471215485,2395406.5513292104,102435427.70799549
5,5608508.819216307,15503012.250577806,2395406.5513292104,111747398.01219766
6,3363213.3935785545,745269.8507539238,2395406.5513292104,4047544.681415367
7,7954955.492955332,20442075.82687269,2395406.5513292104,109391903.90939793
8,7521477.453609373,28190917.929610424,2395406.5513292104,204785792.74766958
9,5863628.893582967,15155335.080289114,2395406.5513292104,107413076.0021588
