generation,mean,standard_deviation,min_value,max_value
0,11088696.13803864,6598801.332526778,1177350.4600598672,31046291.96954325
1,11403209.44743735,40764271.49566945,1177350.4600598672,406586602.08861685
2,17389768.922224615,53721193.64611938,1177350.4600598672,402145183.9079492
3,17534840.669105235,47743788.26885133,1177350.4600598672,302366377.1563632
4,15363445.330047635,48649268.59713431,1177350.4600598672,303383749.64433753
5,18516917.247555904,52052463.9537083,1177350.4600598672,302366377.1563632
6,12978412.14365414,38736114.995771185,1177350.4600598672,302566554.9442196
7,12753150.072470574,37353414.0314799,1177350.4600598672,301676079.3829501
8,23718991.008790914,115544300.07088219,1177350.4600598672,2029192239.583444
9,26701152.205359485,58192638.48302427,1177350.4600598672,302853119.7165028
10,21116424.13877589,54217835.78256683,1177350.4600598672,422292866.6863101
11,27485986.70918996,57872490.15022257,1177350.4600598672,404566567.02309924
12,30498135.564963166,68262904.1849725,1177350.4600598672,503121205.92833376
13,28711893.48629387,55539487.477225244,1177350.4600598672,303281003.3267778
14,22515032.397733975,51429326.60380069,1177350.4600598672,321497068.1719269
15,26303417.658226427,58916559.73943762,1177350.4600598672,417768355.03052306
16,23784749.384569336,53220319.14863651,1177350.4600598672,302884338.6358211
17,25999848.039431065,58240413.35235888,1177350.4600598672,303729274.84899527
18,25960499.235546343,59772616.217330754,1177350.4600598672,307758218.1553366
19,29365707.962479454,60738382.14701659,1177350.4600598672,224366213.3569877
20,22409112.00652799,52425103.64938594,1177350.4600598672,267317177.36318207
21,22776841.13435706,52087771.754224956,1177350.4600598672,303902903.17548484
22,17055489.143992547,47776634.806486025,1177350.4600598672,402892628.4411537
23,19323777.165135957,57083895.323106594,1177350.4600598672,526407760.0753299
24,33065861.325213894,216630740.9842658,1177350.4600598672,3946909125.560147
25,29329660.193373915,66836956.34611566,1177350.4600598672,311093585.9198192
26,24794718.77274252,62128690.71655825,1177350.4600598672,403070475.962686
27,34771928.008955665,70389572.27331828,1177350.4600598672,417896856.78379405
28,454825478.44072694,6375305576.382171,1177350.4600598672,116710622929.653
29,150588596.0405948,637828866.3718618,1177350.4600598672,10939032504.614185
30,14348877932.375216,227605806369.9419,1177350.4600598672,4222619053778.081
31,319948704.3961241,1711839668.0363467,1177350.4600598672,19404235070.072094
32,23308824670.252296,438546901937.54724,1177350.4600598672,8413116100143.357
33,200608676118787.4,3437043483588352.5,1177350.4600598672,6.420831087106407e+16
34,2904292818.9459486,38473026618.33232,1177350.4600598672,646053596328.461
35,2487843602856.0093,41851989871972.414,1177350.4600598672,793067663273963.4
36,4883332577659.603,89640771415583.38,1177350.4600598672,1650469149081454.2
37,151773693294.8549,2517482720246.16,1177350.4600598672,48002643528954.04
38,25840307829749.832,478441119880648.3,1177350.4600598672,9039975801323208.0
39,67847974345382.875,1262903590603761.5,1177350.4600598672,2.372810010261399e+16
