generation,fitness_value
0,1177350.4600598672
1,1177350.4600598672
2,1177350.4600598672
3,1177350.4600598672
4,1177350.4600598672
5,1177350.4600598672
6,1177350.4600598672
7,1177350.4600598672
8,1177350.4600598672
9,1177350.4600598672
10,1177350.4600598672
11,1177350.4600598672
12,1177350.4600598672
13,1177350.4600598672
14,1177350.4600598672
15,1177350.4600598672
16,1177350.4600598672
17,1177350.4600598672
18,1177350.4600598672
19,1177350.4600598672
20,1177350.4600598672
21,1177350.4600598672
22,1177350.4600598672
23,1177350.4600598672
24,1177350.4600598672
25,1177350.4600598672
26,1177350.4600598672
27,1177350.4600598672
28,1177350.4600598672
29,1177350.4600598672
30,1177350.4600598672
31,1177350.4600598672
32,1177350.4600598672
33,1177350.4600598672
34,1177350.4600598672
35,1177350.4600598672
36,1177350.4600598672
37,1177350.4600598672
38,1177350.4600598672
39,1177350.4600598672
