generation,fitness_value
0,1712252.88956496
1,1514836.74159724
2,1514836.74159724
3,1194891.5684388853
4,1194891.5684388853
5,1194891.5684388853
6,1194891.5684388853
7,1194891.5684388853
8,1194891.5684388853
9,1194891.5684388853
10,1194891.5684388853
11,1194891.5684388853
12,1194891.5684388853
13,1194891.5684388853
14,1194891.5684388853
15,1194891.5684388853
16,1194891.5684388853
17,1194891.5684388853
18,1194891.5684388853
19,1194891.5684388853
20,1194891.5684388853
21,1194891.5684388853
22,1194891.5684388853
23,1194891.5684388853
24,1194891.5684388853
