generation,mean,standard_deviation,min_value,max_value
0,219574405.3763677,294313447.66752136,672254.0276683343,901053773.6235842
1,360938585.58828425,343710695.11511576,672254.0276683343,1001105339.1173377
2,268921333.0375739,276940692.768217,672254.0276683343,701109896.8673254
3,290966659.21679175,308971293.17110085,672254.0276683343,901542718.5370058
4,365060731.1386963,317541782.71788585,672254.0276683343,901103521.342032
5,323118263.1867842,320460785.9492067,672254.0276683343,901149048.0557543
6,243162593.84461582,254189611.27121073,672254.0276683343,801083784.476803
7,697236718.4715321,712375320.1761687,672254.0276683343,1900722450.0996237
8,641202215.2009599,699411562.8424839,672254.0276683343,1900751197.377155
9,603171433.7586845,677384236.355087,672254.0276683343,1700759759.1730015
