generation,individual,restriction_penalty,choice_penalty,accounting_penalty,fitness_value
0,0,0,354724,3717192.014864999,4071916.014864999
0,1,0,345240,9151239.444216467,9496479.444216467
0,2,0,354724,3717192.014864999,4071916.014864999
0,3,100000000,590723,3395254.8930651057,103985977.89306511
0,4,0,300233,10325920.284958737,10626153.284958737
0,5,0,330957,4199888.439234796,4530845.439234796
0,6,0,321346,16903038.859459907,17224384.859459907
0,7,0,341096,10462870.74918138,10803966.74918138
0,8,0,302163,34454515.671815954,34756678.671815954
0,9,0,280151,15055633.968698949,15335784.968698949
0,10,0,290890,26177695.468040273,26468585.468040273
0,11,0,502120,8905972.6945048,9408092.6945048
0,12,0,538196,54793208.82011506,55331404.82011506
0,13,0,314832,14734840.102883002,15049672.102883002
0,14,0,315360,5456539.69817788,5771899.69817788
0,15,0,311038,12091314.135714134,12402352.135714134
0,16,0,328961,12796504.104666019,13125465.104666019
0,17,0,322380,14689233.074215395,15011613.074215395
0,18,0,341096,10462870.74918138,10803966.74918138
0,19,0,315543,16535020.000161216,16850563.000161216
0,20,0,282663,21468693.154263034,21751356.154263034
0,21,0,313801,19441598.272522252,19755399.272522252
0,22,0,581134,8231173.98614976,8812307.98614976
0,23,0,298574,25880740.325667944,26179314.325667944
0,24,0,322380,14689233.074215395,15011613.074215395
0,25,0,315792,7971545.746204771,8287337.746204771
0,26,0,307303,18045458.07762366,18352761.07762366
0,27,300000000,499378,36541605.537960336,337040983.53796035
0,28,0,318665,12112994.298929188,12431659.298929188
0,29,0,298841,13111155.031218305,13409996.031218305
0,30,0,302865,13973903.368063623,14276768.368063623
0,31,0,303537,19778110.345196985,20081647.345196985
0,32,200000000,503147,13650305.36045008,214153452.3604501
0,33,0,354724,3717192.014864999,4071916.014864999
0,34,0,302281,7103597.634924599,7405878.634924599
0,35,0,321672,8526024.274233105,8847696.274233105
0,36,100000000,610457,4285367.152074765,104895824.15207477
0,37,0,302865,13973903.368063623,14276768.368063623
0,38,0,280151,15055633.968698949,15335784.968698949
0,39,0,298841,13111155.031218305,13409996.031218305
0,40,0,321672,8526024.274233105,8847696.274233105
0,41,100000000,507066,21596358.301805094,122103424.3018051
0,42,0,569441,10551537.79850172,11120978.79850172
0,43,0,280151,15055633.968698949,15335784.968698949
0,44,0,341096,10462870.74918138,10803966.74918138
0,45,0,345240,9151239.444216467,9496479.444216467
0,46,0,290890,26177695.468040273,26468585.468040273
0,47,0,321346,16903038.859459907,17224384.859459907
0,48,0,322380,14689233.074215395,15011613.074215395
0,49,0,537466,5879681.521656592,6417147.521656592
1,0,0,354724,3717192.014864999,4071916.014864999
1,1,0,302865,13973903.368063623,14276768.368063623
1,2,0,354724,3717192.014864999,4071916.014864999
1,3,0,330957,4199888.439234796,4530845.439234796
1,4,0,322380,14689233.074215395,15011613.074215395
1,5,0,796503,32889113.21233836,33685616.21233836
1,6,0,322380,14689233.074215395,15011613.074215395
1,7,0,330957,4199888.439234796,4530845.439234796
1,8,100000000,551312,13911601.154500946,114462913.15450095
1,9,0,313801,19441598.272522252,19755399.272522252
1,10,0,354724,3717192.014864999,4071916.014864999
1,11,100000000,499943,22440530.958596908,122940473.95859692
1,12,0,538196,54793208.82011506,55331404.82011506
1,13,100000000,466865,19145356.757038143,119612221.75703815
1,14,0,302865,13973903.368063623,14276768.368063623
1,15,0,345240,9151239.444216467,9496479.444216467
1,16,0,341096,10462870.74918138,10803966.74918138
1,17,0,354724,3717192.014864999,4071916.014864999
1,18,0,300233,10325920.284958737,10626153.284958737
1,19,0,315543,16535020.000161216,16850563.000161216
1,20,0,302281,7103597.634924599,7405878.634924599
1,21,0,318665,12112994.298929188,12431659.298929188
1,22,0,328961,12796504.104666019,13125465.104666019
1,23,0,321346,16903038.859459907,17224384.859459907
