generation,mean,standard_deviation,min_value,max_value
0,20511495.932753388,24825202.85982892,4071916.014864999,122103424.3018051
1,24008482.960631933,35236579.978306,3691665.5410217294,150119578.00315392
2,9749226.775953924,14706429.24601755,3691665.5410217294,107404218.7127473
3,10916862.492509281,23674715.92093263,2760726.913586142,105884547.21998031
4,6015511.6610413715,14033714.393941332,2760726.913586142,104064718.148345
5,3613584.693132053,612769.6835756407,1915525.3481341254,5165264.548162528
6,3185553.691002854,608090.2377080338,1915525.3481341254,5242171.242383946
7,3169132.753617115,1204614.5301365957,1915525.3481341254,8406317.371047638
8,8872727.622869382,23963975.913758546,1915525.3481341254,104127675.47757246
9,4565472.129924208,14061998.851919677,1915525.3481341254,102781801.00747113
