generation,fitness_value
0,1888847.8689100014
1,1457656.0302280802
2,1457656.0302280802
3,1457656.0302280802
4,1457656.0302280802
5,1457656.0302280802
6,1457656.0302280802
7,1457656.0302280802
8,1408295.256308202
9,1408295.256308202
10,1408295.256308202
11,1339900.2649926015
12,1339900.2649926015
13,1339900.2649926015
14,1243276.4006111322
15,1243276.4006111322
16,1243276.4006111322
17,1243276.4006111322
18,1243276.4006111322
19,1243276.4006111322
20,1243276.4006111322
21,1243276.4006111322
22,1243276.4006111322
23,1243276.4006111322
24,1243276.4006111322
25,1243276.4006111322
26,1243276.4006111322
27,1243276.4006111322
28,1243276.4006111322
29,1243276.4006111322
30,1243276.4006111322
31,1243276.4006111322
32,1243276.4006111322
33,1243276.4006111322
34,1243276.4006111322
35,1243276.4006111322
36,1243276.4006111322
37,1243276.4006111322
38,1243276.4006111322
39,1243276.4006111322
40,1243276.4006111322
41,1243276.4006111322
42,1243276.4006111322
43,1243276.4006111322
44,1243276.4006111322
45,1243276.4006111322
46,1243276.4006111322
47,1243276.4006111322
48,1243276.4006111322
49,1243276.4006111322
