generation,fitness_value
0,1514498.6835598375
1,1328471.8883534558
2,1328471.8883534558
3,1235318.0916587035
4,1235318.0916587035
5,1235318.0916587035
6,1063662.7975281824
7,1063662.7975281824
8,1041192.6310124479
9,1041192.6310124479
10,1041192.6310124479
11,1041192.6310124479
12,1041192.6310124479
13,1041192.6310124479
14,1022267.5485418914
15,1022267.5485418914
16,1022267.5485418914
17,1022267.5485418914
18,1022267.5485418914
19,1022267.5485418914
20,1022267.5485418914
21,1022267.5485418914
22,1022267.5485418914
23,1022267.5485418914
24,1022267.5485418914
25,1022267.5485418914
26,1022267.5485418914
27,1022267.5485418914
28,1022267.5485418914
29,1022267.5485418914
30,1022267.5485418914
31,1022267.5485418914
32,1022267.5485418914
33,1022267.5485418914
34,1022267.5485418914
35,1022267.5485418914
36,1022267.5485418914
37,1022267.5485418914
38,1022267.5485418914
39,1022267.5485418914
