generation,mean,standard_deviation,min_value,max_value
0,10965932.563747449,5032035.012855228,1358171.9656062066,20247151.92011108
1,2304033.7864838154,1477080.363547429,1072980.203506956,6920360.542632442
2,3022834.201957915,10306690.005009219,1072980.203506956,103081890.88845322
3,1690611.1817767653,693953.643188695,1072980.203506956,3788680.3963444005
4,1423979.96591163,155703.42628641016,1072980.203506956,1514329.53695388
5,1413418.5141465173,177462.12970008858,1072980.203506956,1514329.53695388
6,1435812.2527956143,411933.79572704836,1072980.203506956,5009593.956746815
7,1411474.9673253058,255152.1875637187,1072980.203506956,2566577.548688527
8,1446271.2386629984,287063.2191747131,1072980.203506956,3554724.8982349075
9,1399578.7102576792,193590.9312116403,1072980.203506956,1514329.53695388
10,1431700.281999622,231863.14749700268,1072980.203506956,2621254.942324278
11,1396237.7287862666,194462.69934819717,1072980.203506956,1514329.53695388
12,2412404.6121788397,10176844.934327496,1072980.203506956,102622220.70958593
13,1421790.309992684,284289.15265657107,1072980.203506956,3451528.632503753
14,1401279.9969058507,201057.01462284537,1072980.203506956,2007009.8934643392
15,1389433.17148179,197776.99920685674,1072980.203506956,1514329.53695388
16,1418548.9332769746,245184.38107191515,1072980.203506956,2793440.5624855766
17,1368128.2698799262,207211.36293330343,1072980.203506956,1514329.53695388
18,1373097.7502508638,205878.93857208407,1072980.203506956,1514329.53695388
19,1411807.2630358862,191939.64191822213,1072980.203506956,1718827.3115115794
20,1387163.709157837,212156.32324361702,1072980.203506956,2038226.7607573348
21,1399578.7102576792,193590.9312116403,1072980.203506956,1514329.53695388
22,1422151.953564425,218960.43602516266,1072980.203506956,2260824.805967708
23,1369210.266925887,205570.66164564827,1072980.203506956,1514329.53695388
24,1392165.4453419717,209953.48131071244,1072980.203506956,1906377.2536064384
25,1408140.6897161978,188362.3311510567,1072980.203506956,1514329.53695388
26,1380978.7831074623,201851.00829649952,1072980.203506956,1514329.53695388
27,1388746.2913786394,197919.20023901796,1072980.203506956,1514329.53695388
28,1381924.7369198024,202251.6728438834,1072980.203506956,1514329.53695388
29,1377511.2435853332,204121.08460732814,1072980.203506956,1514329.53695388
30,1404202.463083185,191304.3093074435,1072980.203506956,1554862.266783914
31,1405032.8503211348,240938.70715099032,1072980.203506956,2495494.5069541326
32,1401171.4916535364,188462.92220477722,1072980.203506956,1514329.53695388
33,1408905.973438583,192019.05598315585,1072980.203506956,1660697.6379291657
34,1408104.700239138,351784.3449294504,1072980.203506956,3216738.0075883414
35,1421849.4072176653,187023.42388780738,1072980.203506956,1704138.7113388036
36,1416193.3462245765,182426.2879224776,1072980.203506956,1514329.53695388
37,1384275.7831279468,261154.82253945892,1072980.203506956,2903597.653131037
38,1404895.1259943484,188095.3555708513,1072980.203506956,1514329.53695388
39,1447397.251489505,260107.20643679058,1072980.203506956,3130175.7580558057
40,1422428.6366434179,176625.85329491482,1072980.203506956,1514329.53695388
41,1412388.8131688577,309326.13796545035,1072980.203506956,3057894.8077151836
42,1399578.7102576792,193590.9312116403,1072980.203506956,1514329.53695388
43,1344464.299160292,213609.53102993744,1072980.203506956,1514329.53695388
44,1408405.6969266175,188492.85478778667,1072980.203506956,1514329.53695388
45,1417396.4634043542,227128.76147379205,1072980.203506956,2203625.2226800686
46,1380689.8633309794,287947.4741390804,1072980.203506956,3155925.7635465767
47,1418610.1545248094,184456.52225977383,1072980.203506956,1692268.650676889
48,1426274.8364586383,239580.57659343057,1072980.203506956,2506630.583446144
49,1408405.6969266175,188492.85478778667,1072980.203506956,1514329.53695388
50,1421541.630288218,187970.05823534055,1072980.203506956,1819318.9920926702
51,1407254.5345412001,188391.88162022168,1072980.203506956,1540700.6342980522
52,1413345.173536724,262098.86313708543,1072980.203506956,2511457.6565967845
53,1417232.683595556,182827.32995206688,1072980.203506956,1514329.53695388
54,1407296.4050483387,209046.68120486956,1072980.203506956,2058415.2115256698
55,1373097.7502508638,205878.93857208407,1072980.203506956,1514329.53695388
56,1396491.1512345392,192579.54435965864,1072980.203506956,1514329.53695388
57,1393454.9464447936,221823.4428340918,1072980.203506956,1933609.9161968953
58,2421758.989485723,9954951.292688876,1072980.203506956,101450573.05473626
59,1393613.6403008788,270047.3776856175,1072980.203506956,2986693.9779973677
60,1396279.0352679945,193041.47528750464,1072980.203506956,1514329.53695388
61,1422398.9298186612,176633.6258903068,1072980.203506956,1514329.53695388
62,1422218.2715710178,272310.68477609043,1072980.203506956,3101474.0379918143
63,1446042.117135981,222701.7296451455,1072980.203506956,2343551.2967811422
64,1407170.8953798676,188199.1371238686,1072980.203506956,1514329.53695388
65,1392516.6861373351,203899.62872018214,1072980.203506956,1877303.8048069433
66,1407158.0030587493,188200.29891986673,1072980.203506956,1514329.53695388
67,1437842.9994995117,217772.40732757826,1072980.203506956,2162805.89105437
68,1422373.8050269275,293872.49808861606,1072980.203506956,2985563.8498729626
69,1424361.6240442118,193605.5658593645,1072980.203506956,1933537.865482332
70,1447875.2900352043,668433.112474071,1072980.203506956,7724378.752914295
71,1355443.7769129872,211847.6800545235,1072980.203506956,1514329.53695388
72,1406844.506553358,188255.4540249112,1072980.203506956,1514329.53695388
73,1417232.683595556,182827.32995206688,1072980.203506956,1514329.53695388
74,1425136.4278954694,289621.33573824307,1072980.203506956,3445318.8333501546
75,1396556.7439343843,192668.14398833833,1072980.203506956,1514329.53695388
76,1399578.7102576792,193590.9312116403,1072980.203506956,1514329.53695388
77,1417232.683595556,182827.32995206688,1072980.203506956,1514329.53695388
78,1403268.9475041737,327997.836222849,1072980.203506956,3276260.8783404776
79,1389842.8130338483,197766.4897387916,1072980.203506956,1514329.53695388
80,2458686.0515109957,10148733.741524989,1072980.203506956,101802552.74600469
81,1458449.8930134755,407202.1958681924,1072980.203506956,3905465.6882870705
82,2468332.3222406376,10024666.15824534,1072980.203506956,102105531.37175643
83,1408215.917983831,188395.64131359957,1072980.203506956,1514329.53695388
84,1446723.1924495194,279220.4818572783,1072980.203506956,3544903.170464887
85,1444877.988441017,216572.64755935365,1072980.203506956,2365174.9344588732
86,1416822.1233909365,307447.85634216445,1072980.203506956,3698406.3741575475
87,1416190.6577014881,184887.70736677857,1072980.203506956,1606404.7060518386
88,1416677.5633450605,182615.82464026284,1072980.203506956,1514329.53695388
89,1426059.6702644944,176539.7333787696,1072980.203506956,1514329.53695388
90,1403992.2035921484,191109.8673541825,1072980.203506956,1514329.53695388
91,1324549.3235717025,218501.35305360053,1072980.203506956,1514329.53695388
92,1446477.8252884743,325160.99884094764,1072980.203506956,3627666.272957579
93,1390751.7235887405,198165.35923673256,1072980.203506956,1514329.53695388
94,1399113.1604152059,193370.2694773236,1072980.203506956,1514329.53695388
95,1417232.683595556,182827.32995206688,1072980.203506956,1514329.53695388
96,1390751.7235887405,198165.35923673256,1072980.203506956,1514329.53695388
97,1408405.6969266175,188492.85478778667,1072980.203506956,1514329.53695388
98,1416554.1346199447,182591.47044469856,1072980.203506956,1514329.53695388
99,1480862.3198041879,407709.05427970376,1072980.203506956,3267944.968340272
