generation,fitness_value
0,1358171.9656062066
1,1072980.203506956
2,1072980.203506956
3,1072980.203506956
4,1072980.203506956
5,1072980.203506956
6,1072980.203506956
7,1072980.203506956
8,1072980.203506956
9,1072980.203506956
10,1072980.203506956
11,1072980.203506956
12,1072980.203506956
13,1072980.203506956
14,1072980.203506956
15,1072980.203506956
16,1072980.203506956
17,1072980.203506956
18,1072980.203506956
19,1072980.203506956
20,1072980.203506956
21,1072980.203506956
22,1072980.203506956
23,1072980.203506956
24,1072980.203506956
25,1072980.203506956
26,1072980.203506956
27,1072980.203506956
28,1072980.203506956
29,1072980.203506956
30,1072980.203506956
31,1072980.203506956
32,1072980.203506956
33,1072980.203506956
34,1072980.203506956
35,1072980.203506956
36,1072980.203506956
37,1072980.203506956
38,1072980.203506956
39,1072980.203506956
40,1072980.203506956
41,1072980.203506956
42,1072980.203506956
43,1072980.203506956
44,1072980.203506956
45,1072980.203506956
46,1072980.203506956
47,1072980.203506956
48,1072980.203506956
49,1072980.203506956
50,1072980.203506956
51,1072980.203506956
52,1072980.203506956
53,1072980.203506956
54,1072980.203506956
55,1072980.203506956
56,1072980.203506956
57,1072980.203506956
58,1072980.203506956
59,1072980.203506956
60,1072980.203506956
61,1072980.203506956
62,1072980.203506956
63,1072980.203506956
64,1072980.203506956
65,1072980.203506956
66,1072980.203506956
67,1072980.203506956
68,1072980.203506956
69,1072980.203506956
70,1072980.203506956
71,1072980.203506956
72,1072980.203506956
73,1072980.203506956
74,1072980.203506956
75,1072980.203506956
76,1072980.203506956
77,1072980.203506956
78,1072980.203506956
79,1072980.203506956
80,1072980.203506956
81,1072980.203506956
82,1072980.203506956
83,1072980.203506956
84,1072980.203506956
85,1072980.203506956
86,1072980.203506956
87,1072980.203506956
88,1072980.203506956
89,1072980.203506956
90,1072980.203506956
91,1072980.203506956
92,1072980.203506956
93,1072980.203506956
94,1072980.203506956
95,1072980.203506956
96,1072980.203506956
97,1072980.203506956
98,1072980.203506956
99,1072980.203506956
