generation,mean,standard_deviation,min_value,max_value
0,32472344.53381896,42384471.44523558,2114938.932846407,125904172.81748724
1,31953339.575543337,52300820.135831185,2114938.932846407,223589760.58093828
2,21801545.427806057,36124620.97253529,2055335.992789888,127929776.62656008
3,24991816.674630295,46996627.82471205,1927269.9590688818,203000096.1966665
4,23421756.196461745,43735334.605195045,1927269.9590688818,202794897.48921052
5,17968914.80997629,38728714.69657885,1817243.629644771,201737898.49657536
6,12348291.123962516,29065907.030709457,1430485.5421120077,104879300.04450475
7,15387690.62361179,33623710.365077905,1384074.2051491828,103783608.81730533
8,17250228.055110313,38593371.91851069,1200023.0038383505,201367308.74759418
9,16320479.568192825,34624185.73075752,1200023.0038383505,102660747.79157898
10,13072128.761332696,34595967.60110979,1200023.0038383505,201757534.74611303
11,3825148.4958188133,14152163.576092537,1200023.0038383505,102749077.37804686
12,4667729.845837371,17094074.153314505,1200023.0038383505,101822562.79150592
13,5485117.548259261,19615923.67560542,1200023.0038383505,101777354.04188825
14,41010584.25119328,72834349.40213335,1200023.0038383505,301500317.1916182
15,24905527.629199352,57087268.88518342,1200023.0038383505,211059257.70021296
16,50932087.91386156,83687875.10043865,1200023.0038383505,302555804.170543
17,48751861.85053237,91845570.31647967,1200023.0038383505,403331504.76089007
18,40811824.479819156,68257510.71904474,1200023.0038383505,204008372.07392335
19,39884430.88153973,81817361.89316691,1200023.0038383505,304092078.6477167
