generation,mean,standard_deviation,min_value,max_value
0,7588935.182433194,4142146.290994787,1566112.602848989,14632977.558007313
1,12090885.500918526,36422577.86532398,1566112.602848989,204590304.66373363
2,9682804.355794692,27121827.46144563,1566112.602848989,101778690.56253219
3,5735542.073030505,19606080.288010143,1566112.602848989,101778690.56253219
4,11924476.752530951,36487229.388580784,1566112.602848989,201952590.16324902
5,11683764.67504672,30239923.755166113,1503229.9862990058,104030830.75947368
6,34470734.1105304,86970773.8900136,1503229.9862990058,502716956.32171756
7,9713895.711517638,34078353.55997462,1503229.9862990058,202786916.8249244
8,34730776.33611866,95330310.24898224,1503229.9862990058,403882606.55861866
9,24330875.125924602,66480320.41627883,1503229.9862990058,308247991.7016203
