generation,mean,standard_deviation,min_value,max_value
0,11843125.174562827,8687932.661361495,1515246.125748824,31213783.08139455
1,6989189.199817509,6284421.95704795,1515246.125748824,26496546.582635157
2,3701565.9674042845,2101082.048171399,1515246.125748824,11404952.162704453
3,8758908.088689035,23695318.89434049,1515246.125748824,102961334.23149133
4,4071187.3791137706,13987187.891786432,1515246.125748824,101792481.76287678
5,7697454.804076207,23806393.991916295,1515246.125748824,102560867.35212024
6,3551068.1911787177,13949514.036083426,1515246.125748824,101188943.96026
7,27613421.892918196,82268875.5888147,1515246.125748824,303058366.02911615
8,13558058.83594231,47640980.43082971,1515246.125748824,202779406.53987586
9,3515964.2962610344,14005027.193585474,1515246.125748824,101551154.65135935
