generation,individual,restriction_penalty,choice_penalty,accounting_penalty,fitness_value
0,0,0,295721,32771706.590175133,33067427.590175133
0,1,0,316328,8318907.15374146,8635235.15374146
0,2,0,305671,21424000.17339082,21729671.17339082
0,3,0,308247,3557071.2048979667,3865318.2048979667
0,4,0,535247,5109043.2057230035,5644290.2057230035
0,5,0,312413,8192096.005100931,8504509.005100932
0,6,0,292752,26203794.582635157,26496546.582635157
0,7,0,294727,10644862.184981823,10939589.184981823
0,8,0,330518,1184728.125748824,1515246.125748824
0,9,0,305671,21424000.17339082,21729671.17339082
0,10,0,308247,3557071.2048979667,3865318.2048979667
0,11,0,305671,21424000.17339082,21729671.17339082
0,12,0,312479,7882450.426007603,8194929.426007603
0,13,0,327908,5036862.849803608,5364770.849803608
0,14,0,309487,16946237.294444975,17255724.294444975
0,15,0,297423,5448436.710484114,5745859.710484114
0,16,0,289122,7849389.227163038,8138511.227163038
0,17,0,324642,2134827.3811960015,2459469.3811960015
0,18,0,321300,15700841.76929443,16022141.76929443
0,19,0,481361,13032271.90669171,13513632.90669171
0,20,0,313588,10080656.360638127,10394244.360638127
0,21,0,314799,4269910.643334621,4584709.643334621
0,22,0,292752,26203794.582635157,26496546.582635157
0,23,0,300602,11119638.611803535,11420240.611803535
0,24,0,299114,30804760.16516631,31103874.16516631
0,25,0,310237,1513893.288977732,1824130.288977732
0,26,0,514270,2257919.7441517133,2772189.7441517133
0,27,0,315987,8055189.355893507,8371176.355893507
0,28,0,316328,8318907.15374146,8635235.15374146
0,29,0,296513,5826344.470337048,6122857.470337048
0,30,100000000,498645,3420759.989555949,103919404.98955595
0,31,0,468968,28832893.370956324,29301861.370956324
0,32,0,322723,6595046.969118147,6917769.969118147
0,33,0,299980,11104972.162704453,11404952.162704453
0,34,0,308247,3557071.2048979667,3865318.2048979667
0,35,0,330518,1184728.125748824,1515246.125748824
0,36,0,309994,5584992.708549465,5894986.708549465
0,37,0,306090,23140474.458385505,23446564.458385505
0,38,0,327908,5036862.849803608,5364770.849803608
0,39,0,299114,30804760.16516631,31103874.16516631
0,40,0,294727,10644862.184981823,10939589.184981823
0,41,0,321300,15700841.76929443,16022141.76929443
0,42,0,354276,7525088.681746844,7879364.681746844
0,43,0,314799,4269910.643334621,4584709.643334621
0,44,0,303089,20785903.689054254,21088992.689054254
0,45,0,296513,5826344.470337048,6122857.470337048
0,46,0,512137,30701646.08139455,31213783.08139455
0,47,0,293616,8417653.386391649,8711269.386391649
0,48,0,301828,12797048.358367382,13098876.358367382
0,49,0,322723,6595046.969118147,6917769.969118147
1,0,300000000,480410,3357474.5041078245,303837884.50410783
1,1,0,502449,7700872.266324349,8203321.266324349
1,2,100000000,537562,5181650.592957303,105719212.5929573
2,0,0,488628,1524721.8090170543,2013349.8090170543
2,1,200000000,510917,3479453.4946063757,203990370.49460638
3,0,200000000,573936,1051664.802912421,201625600.8029124
3,1,100000000,521217,2440117.2314913278,102961334.23149133
3,2,300000000,510878,2408322.3451712225,302919200.3451712
3,3,100000000,560558,1585487.4581362247,102146045.45813623
3,4,0,727397,5019350.666566727,5746747.666566727
3,5,0,513467,3449881.4198528742,3963348.4198528742
3,6,100000000,552658,1545001.7941324736,102097659.79413247
4,0,0,545239,2196715.0118896374,2741954.0118896374
4,1,100000000,543223,1249258.7628767744,101792481.76287678
4,2,0,530037,1551365.539979172,2081402.539979172
4,3,0,742824,1617227.091056351,2360051.091056351
5,0,200000000,573211,1727343.3053536583,202300554.30535367
5,1,0,554781,3047298.723294176,3602079.723294176
5,2,100000000,536244,1044002.3848893873,101580246.3848894
5,3,100000000,542237,2018630.3521202318,102560867.35212024
5,4,100000000,553820,2635092.8391006184,103188912.83910061
5,5,100000000,539762,1052480.3406347744,101592242.34063478
5,6,0,531626,1817071.4357772067,2348697.435777207
6,0,100000000,545069,1415420.2588626244,101960489.25886263
6,1,100000000,548135,960081.5899582919,101508216.5899583
6,2,0,511267,1246672.6178716277,1757939.6178716277
6,3,100000000,513441,675502.9602600108,101188943.96026
7,0,500000000,367607,2991815.449424609,503359422.4494246
7,1,300000000,349292,1970120.5247667625,302319412.52476674
7,2,300000000,360066,1584080.9728521178,301944146.9728521
7,3,400000000,364241,958596.9413924537,401322837.9413925
7,4,100000000,355599,1547480.2677618056,101903079.26776181
7,5,300000000,358543,2699823.029116169,303058366.02911615
7,6,300000000,371113,2337323.537363954,302708436.53736395
8,0,200000000,357856,1618089.3574671245,201975945.35746711
8,1,400000000,345757,2089407.924248419,402435164.9242484
8,2,200000000,369149,1252988.826348845,201622137.82634884
8,3,300000000,366887,2773339.564703702,303140226.5647037
8,4,200000000,355219,2424187.5398758687,202779406.53987586
9,0,100000000,365686,1185468.6513593488,101551154.65135935
9,1,200000000,359075,5120084.983373713,205479159.9833737
9,2,400000000,355967,3592071.173729302,403948038.1737293
