generation,fitness_value
0,1763867.1303385713
1,1763867.1303385713
2,1738807.437002149
3,1738807.437002149
4,1652356.981558288
5,1652356.981558288
6,1077325.4197952598
7,1077325.4197952598
8,1077325.4197952598
9,1077325.4197952598
10,1077325.4197952598
11,1077325.4197952598
12,1077325.4197952598
13,1077325.4197952598
14,1077325.4197952598
15,1077325.4197952598
16,1077325.4197952598
17,1077325.4197952598
18,1077325.4197952598
19,1077325.4197952598
20,1077325.4197952598
21,1077325.4197952598
22,1077325.4197952598
23,1077325.4197952598
24,1077325.4197952598
