generation,mean,standard_deviation,min_value,max_value
0,9501090.490801895,5485297.973634691,2167340.9978613155,22656940.21472313
1,7203605.048421735,21049171.719988137,1294755.7085302863,104086836.78117627
2,4186709.653962412,14311481.130567115,1294755.7085302863,104327266.85036768
3,4483844.656434213,14995866.217394756,1294755.7085302863,105977680.72793236
4,4043907.6447606697,14100143.20047606,1294755.7085302863,101694159.82507676
5,3963113.0183762163,14006476.382958103,1294755.7085302863,101975936.44524749
6,6487785.21084337,21790411.24801076,1294755.7085302863,119478798.70660707
7,2030410.3856530664,451849.6096397386,1294755.7085302863,4046663.280759155
8,9928614.634116413,39784227.21879819,1294755.7085302863,205657139.30332196
9,17622349.11739245,56658313.50976706,1294755.7085302863,307684557.74036235
